Task ID,Client,Campaign,Channel,Tier: Order,Title,Direction,Resource Link 1,Resource Link 2,Resource Link 3,Desired Placement,Anchor Text,Target URL,Website Example,Client Comment,Extra Writer Notes
37562,Assurant (Assurant),CON390001 Assurant Nov 15 - Feb 16,lcolarado1,Budget,37562 - ,,,,,techspot.com,Assurant Review,http://www.assurantsolutions.com/about-us/abo-assurant-reviews-t3.html,,,
37563,Assurant (Assurant),CON390001 Assurant Nov 15 - Feb 16,lcolarado1,Budget,37563 - ,,,,,katherinescorner.com,Assurant Review,http://www.assurantsolutions.com/about-us/abo-assurant-reviews-t3.html,,,
37564,Assurant (Assurant),CON390001 Assurant Nov 15 - Feb 16,lcolarado1,Budget,37564 - ,,,,,simplestylings.com,Assurant Review,http://www.assurantsolutions.com/about-us/abo-assurant-reviews-t3.html,,,
37565,Assurant (Assurant),CON390001 Assurant Nov 15 - Feb 16,lcolarado1,Budget,37565 - ,,,,,happy-mothering.com,Assurant Review,http://www.assurantsolutions.com/about-us/abo-assurant-reviews-t3.html,,,
37567,Assurant (Assurant),CON390001 Assurant Nov 15 - Feb 16,lcolarado1,Budget,37567 - ,,,,,cozylittlehouse.com,Assurant Review,http://www.assurantsolutions.com/about-us/abo-assurant-reviews-t3.html,,,
37576,Assurant (Assurant),CON390001 Assurant Nov 15 - Feb 16,lcolarado1,Budget,37576 - ,,,,,moneysavingmom.com,Assurant Review,https://mywirelessclaim.com/t-mobile/review4,,,
37577,Assurant (Assurant),CON390001 Assurant Nov 15 - Feb 16,lcolarado1,Budget,37577 - ,,,,,bargainbabe.com,Assurant Review,https://mywirelessclaim.com/t-mobile/review4,,,
37580,Assurant (Assurant),CON390001 Assurant Nov 15 - Feb 16,lcolarado1,Budget,37580 - ,,,,,tapscape.com,Assurant Review,http://www.glassdoor.com/Reviews/Assurant-Reviews-E13793.htm,,,
37581,Assurant (Assurant),CON390001 Assurant Nov 15 - Feb 16,lcolarado1,Budget,37581 - ,,,,,ohgizmo.com,Assurant Review,http://www.glassdoor.com/Reviews/Assurant-Reviews-E13793.htm,,,
37582,Assurant (Assurant),CON390001 Assurant Nov 15 - Feb 16,lcolarado1,Budget,37582 - ,,,,,fooyoh.com,Assurant Review,http://www.glassdoor.com/Reviews/Assurant-Reviews-E13793.htm,,,
37583,Assurant (Assurant),CON390001 Assurant Nov 15 - Feb 16,lcolarado1,Budget,37583 - ,,,,,rocketnews.com,Assurant Review,http://www.glassdoor.com/Reviews/Assurant-Reviews-E13793.htm,,,
37584,Assurant (Assurant),CON390001 Assurant Nov 15 - Feb 16,lcolarado1,Budget,37584 - ,,,,,lerablog.org,Assurant Review,http://www.glassdoor.com/Reviews/Assurant-Reviews-E13793.htm,,,
37586,Assurant (Assurant),CON390001 Assurant Nov 15 - Feb 16,lcolarado1,Budget,37586 - ,,,,,speckygeek.com,Assurant Review,https://www.glassdoor.com/Reviews/Assurant-Solutions-Reviews-E358894.htm,,,
37587,Assurant (Assurant),CON390001 Assurant Nov 15 - Feb 16,lcolarado1,Budget,37587 - ,,,,,abeautifulmess.com,Assurant Review,https://www.glassdoor.com/Reviews/Assurant-Solutions-Reviews-E358894.htm,,,
37600,Assurant (Assurant),CON390001 Assurant Nov 15 - Feb 16,lcolarado1,Budget,37600 - ,,,,,dinksfinance.com,Assurant Review,http://www.indeed.com/cmp/Assurant/reviews,,,
37601,Assurant (Assurant),CON390001 Assurant Nov 15 - Feb 16,lcolarado1,Budget,37601 - ,,,,,prairieecothrifter.com,Assurant Review,http://www.indeed.com/cmp/Assurant/reviews,,,
