Task ID,Client,Campaign,Channel,Tier: Order,Title,Direction,Resource Link 1,Resource Link 2,Resource Link 3,Desired Placement,Anchor Text,Target URL,Website Example,Client Comment,Extra Writer Notes
37245,HomeDepot (Home Depot),Home Depot Rolling Cabinet,lcolarado1,Budget,37245 - # Pieces of Furniture that Maximize Storage Space,500 words. Write a list of 3 to 6 pieces of furniture that people can use to add storage space to their homes. The resource links offer plenty of options that you can include in the article. Make sure one of the sections is about rolling cabinets so you can use the client link and keyword easily.,http://www.bhg.com/decorating/storage/organization-basics/living-room-storage-furniture/,http://www.apartmenttherapy.com/doubleduty-furn-148220,http://nycitywoman.com/columns/double-duty-furniture,,Natural,http://www.brownstoner.com/blog/2015/12/home-depot-build-rolling-bar-cart/,,,Please also include this link to kitchen cabinets naturally (with natural anchor text) within the content too http://www.homedepot.com/b/Kitchen-Cabinets-Cabinet-Hardware/N-5yc1vZas87
37246,HomeDepot (Home Depot),Home Depot Rolling Cabinet,lcolarado1,Budget,37246 - # Ways to Add Storage Space Without Violating Your Lease,"500 words. Write a list of 3 to 6 ways renters can add storage space to their apartments without violating their lease terms.  In most cases, this means adding space without relying on projects that significantly alter the property, so don&#039;t include ideas like replacing cabinets or building new shelves. You can include the client link  and keyword by making a section about adding space with a rolling cabinet.",http://www.apartmenttherapy.com/10-smart-kitchen-storage-solutions-for-renters-186465,"http://www.thisoldhouse.com/toh/photos/0,,20516824,00.html",http://architecture.about.com/od/buildyourhous1/ss/8-Secrets-for-More-Storage-in-Your-Home.htm,,Natural,http://www.brownstoner.com/blog/2015/12/home-depot-build-rolling-bar-cart/,,,Please also include this link to kitchen cabinets naturally (with natural anchor text) within the content too http://www.homedepot.com/b/Kitchen-Cabinets-Cabinet-Hardware/N-5yc1vZas87
37247,HomeDepot (Home Depot),Home Depot Rolling Cabinet,lcolarado1,Budget,37247 - # Ways to Add Kitchen Storage Without Making a Mess,500 words. Write a list of 3-6 ways homeowners can add storage to their kitchens without turning to construction projects that take a lot of time and make a big mess. You can include the client&#039;s link and keyword by writing a section about rolling cabinets. The resource links offer plenty of other ideas that you can do to round out your list.,http://www.buzzfeed.com/twopoodles/lifehacks-for-your-tiny-kitchen#.fgyWAw8P7v,http://www.housebeautiful.com/lifestyle/organizing-tips/g1602/unique-kitchen-storage-ideas/,http://www.hgtv.com/design/rooms/kitchens/20-smart-kitchen-storage-ideas-pictures,,Natural,http://www.brownstoner.com/blog/2015/12/home-depot-build-rolling-bar-cart/,,,Please also include this link to kitchen cabinets naturally (with natural anchor text) within the content too http://www.homedepot.com/b/Kitchen-Cabinets-Cabinet-Hardware/N-5yc1vZas87
37248,HomeDepot (Home Depot),Home Depot Rolling Cabinet,lcolarado1,Budget,37248 - # Trendy Options for Revitalizing Your Home's Style,"500 words. Discuss 3-6 ways the reader can alter their home to make it seem new again. This article doesn&#039;t have to specifically focus on the kitchen exclusively, but you&#039;ll have to incorporate upgrading your cabinets or adding a rolling cabinet to your kitchen so you can include the main client link. The secondary link can be added when mentioning choosing hardware for your kitchen. Choose topics that can radically change the look or feel of a home. Try to touch on different areas of the house so it doesn&#039;t get overly focused on one room. Your audience consists of homeowners interested in refreshing their home and DIY projects.",http://www.houzz.com/ideabooks/9394323/list/12-ways-to-make-your-home-feel-new-again,http://freshome.com/2014/12/29/10-ways-to-make-your-home-look-elegant-on-a-budget/,n/a,,Natural,http://www.brownstoner.com/blog/2015/12/home-depot-build-rolling-bar-cart/,,,Please also include this link to kitchen cabinets naturally (with natural anchor text) within the content too http://www.homedepot.com/b/Kitchen-Cabinets-Cabinet-Hardware/N-5yc1vZas87
37250,HomeDepot (Home Depot),Home Depot Rolling Cabinet,lcolarado1,Budget,37250 - # New Cabinet Trends For Updating Your Kitchen,"500 words. Discuss 3-6 new trends in cabinets. Discuss what type of cabinets are popular, while including some interesting cabinet designs the reader is unlikely to have seen before. Size, style, color, and function are all important points to bring up in this article. Try to use diverse examples so this article doesn&#039;t become droll for the reader. Your audience includes DIY enthusiasts ages 18-55. The main client link can be included by mentioning building a DIY rolling cabinet in addition to your regular cabinets for extra storage. The secondary client link can be mentioned when talking about cabinet hardware. ",http://www.hgtv.com/design/rooms/kitchens/17-top-kitchen-design-trends-pictures,http://decoratorswisdom.com/decor/interior-design-trends/fresh-kitchen-design-trends-for-2015/#,http://www.westchestermagazine.com/Westchester-Magazine/Westchester-Home/Winter-2015-1/The-Hottest-New-Trends-In-Kitchen-Innovations/,,Natural,http://www.brownstoner.com/blog/2015/12/home-depot-build-rolling-bar-cart/,,,Please also include this link to kitchen cabinets naturally (with natural anchor text) within the content too http://www.homedepot.com/b/Kitchen-Cabinets-Cabinet-Hardware/N-5yc1vZas87
37253,HomeDepot (Home Depot),Home Depot Rolling Cabinet,lcolarado1,Budget,37253 - # Essentials For Making The Ultimate Man Cave,"500 words: Discuss 3-6 essential items for making an awesome man cave. Discuss certain components of assembling a great man cave that you would make you proud to have your friends come over to watch the game or play cards. The main client link can be included by mentioning building a DIY rolling bar as a key component. The secondary client link can be mentioned as cabinets for a mini kitchen area in the man cave. Your audience includes DIY, and sports and recreation male enthusiasts ages 18-65.",http://www.diynetwork.com/shows/man-caves/articles/10-tips-to-designing-and-building-the-ultimate-man-cave,http://www.improvenet.com/a/10-must-have-items-to-create-the-ultimate-man-cave,http://www.houzz.com/man-cave,,Natural,http://www.brownstoner.com/blog/2015/12/home-depot-build-rolling-bar-cart/,,,Please also include this link to kitchen cabinets naturally (with natural anchor text) within the content too http://www.homedepot.com/b/Kitchen-Cabinets-Cabinet-Hardware/N-5yc1vZas87
37255,HomeDepot (Home Depot),Home Depot Rolling Cabinet,lcolarado1,Budget,37255 - # DIY Kitchen Projects,500 words: List 3-6 DIY kitchen projects that anyone can do. Avoid topics that include rewiring and plumbing. Include the main client link by mentioning making a DIY rolling cabinet. The secondary client link can be included when discussing fixing casters onto the rolling cabinet. Your audience consists of homeowners who are interested in easy DIY projects.,http://www.diynetwork.com/how-to/rooms-and-spaces/kitchen/13-best-diy-budget-kitchen-projects-pictures,http://www.buzzfeed.com/rachelysanders/adorable-diy-kitchen-projects#.dmX2gynJqx,http://www.housebeautiful.com/home-remodeling/diy-projects/how-to/a2780/one-hour-kitchen-diys/,,Natural,http://www.brownstoner.com/blog/2015/12/home-depot-build-rolling-bar-cart/,,,Please also include this link to casters naturally (with natural anchor text) within the content too http://www.homedepot.com/b/Tools-Hardware-Hardware-Cabinet-Furniture-Hardware-Furniture-Accessories-Casters/N-5yc1vZc29f
37259,HomeDepot (Home Depot),Home Depot Rolling Cabinet,lcolarado1,Budget,37259 - How to Create a Stylish Home Bar,"500 words: List 3-6 ideas for how someone can create a stylish home bar. You can discuss large projects that include a sink and wine fridge. To work in the target URL, discuss putting together a rolling cabinet for a bar cart. To include the secondary client link you can include information on attaching casters to the rolling cabinet. The audience enjoys DIY projects, so try to include ideas they can work on themselves.",https://remotestylist.com/stylish-functional-home-bar/,http://www.hgtv.com/remodel/interior-remodel/stylish-small-home-bar-ideas-pictures,http://www.popularmechanics.com/home/interior-projects/how-to/a10268/4-tips-for-building-your-own-bar-16510738/,patch.com,Natural,http://www.brownstoner.com/blog/2015/12/home-depot-build-rolling-bar-cart/,,,Please also include this link to casters naturally (with natural anchor text) within the content too http://www.homedepot.com/b/Tools-Hardware-Hardware-Cabinet-Furniture-Hardware-Furniture-Accessories-Casters/N-5yc1vZc29f
37260,HomeDepot (Home Depot),Home Depot Rolling Cabinet,lcolarado1,Budget,37260 - # Rooms Where You Can Use a Rolling Cart,"500 words: List 3-6 rooms where you can use the extra storage and versatility of a rolling cart. Examples can include a utility cart in the garage, a bar cart in the kitchen, and a storage cart in the bathroom. The potential audience enjoys design projects, so include ideas that they can make themselves. Work in the target URL by discussing steps for building a DIY cart for one of these rooms. You can include the secondary link when discussing adding casters to the rolling cart. ",http://www.apartmenttherapy.com/storage-where-you-need-it-rolling-utility-carts-183462,http://www.houzz.com/rolling-cart,http://www.dailyrepublic.com/projects/home-seller/bar-carts-let-the-good-times-roll/,,Natural,http://www.brownstoner.com/blog/2015/12/home-depot-build-rolling-bar-cart/,,,Please also include this link to casters naturally (with natural anchor text) within the content too http://www.homedepot.com/b/Tools-Hardware-Hardware-Cabinet-Furniture-Hardware-Furniture-Accessories-Casters/N-5yc1vZc29f
37261,HomeDepot (Home Depot),Home Depot Rolling Cabinet,lcolarado1,Budget,37261 - The # Best Ways to Improve Your Kitchen's Versatility,"500 words: Discuss 3-6 ideas that help a homeowner or apartment renter improve the versatility of their kitchen, especially in tight quarters. These solutions should be practical, and not cost a ton to get them done; don&#039;t dicuss massive overhauls of kitchen appliances or remodels. The potential audience is DIY people, mostly women, who want to add style and functionality to their kitchen space. The target URL is easily included when you talk about rolling cabinets or other rolling devices that can be moved for extra places to cook or prepare food.The secondary link can be included when discussing casters for the rolling devices. ",http://www.thekitchn.com/10-easy-low-budget-ways-to-improve-any-kitchen-even-a-rental-kitchen-solutions-183773,http://www.thekitchn.com/10-small-ways-to-improve-your-kitchen-in-2014-198756,http://www.woohome.com/diy-2/37-diy-hacks-and-ideas-to-improve-your-kitchen,,Natural,http://www.brownstoner.com/blog/2015/12/home-depot-build-rolling-bar-cart/,,,Please also include this link to casters naturally (with natural anchor text) within the content too http://www.homedepot.com/b/Tools-Hardware-Hardware-Cabinet-Furniture-Hardware-Furniture-Accessories-Casters/N-5yc1vZc29f
