Task ID,Client,Campaign,Channel,Tier: Order,Title,Direction,Resource Link 1,Resource Link 2,Resource Link 3,Desired Placement,Anchor Text,Target URL,Website Example,Client Comment,Extra Writer Notes
39001,covario (iProspect),CON114010 T-mobile A-2 Feb 16,lcolarado1,Traffic,39001 - ,,,,,talentculture.com,iPhone 5C branded term (brand/client name),http://www.t-mobile.com/cell-phones/apple-iphone-5c.html,,,
39002,covario (iProspect),CON114010 T-mobile A-2 Feb 16,lcolarado1,Traffic,39002 - ,,,,,hometone.org,iPhone 5C branded term (brand/client name),http://www.t-mobile.com/cell-phones/apple-iphone-5c.html,,,
39003,covario (iProspect),CON114010 T-mobile A-2 Feb 16,lcolarado1,Traffic,39003 - ,,,,,everybodylovesyourmoney.com,samsung galaxy s6 edge branded term (brand/client name),http://www.t-mobile.com/cell-phones/samsung-galaxy-s-6-edge.html,,,
39015,covario (iProspect),CON114010 T-mobile A-2 Feb 16,lcolarado1,Traffic,39015 - ,,,,,passiveincometoretire.com,ipad mini 4 branded term (brand/client name),http://www.t-mobile.com/internet-devices/apple-ipad-mini-4.html,,,
39016,covario (iProspect),CON114010 T-mobile A-2 Feb 16,lcolarado1,Traffic,39016 - ,,,,,adorable-home.com,ipad mini 4 branded term (brand/client name),http://www.t-mobile.com/internet-devices/apple-ipad-mini-4.html,,,
39017,covario (iProspect),CON114010 T-mobile A-2 Feb 16,lcolarado1,Traffic,39017 - ,,,,,antsmagazine.com,"samsung gear unrelated keyword (this could be “more information”, “click here”)",http://www.t-mobile.com/internet-devices/samsung-gear-s2.html,,,
39018,covario (iProspect),CON114010 T-mobile A-2 Feb 16,lcolarado1,Traffic,39018 - ,,,,,blogherald.com,samsung gear branded term (brand/client name),http://www.t-mobile.com/internet-devices/samsung-gear-s2.html,,,
39019,covario (iProspect),CON114010 T-mobile A-2 Feb 16,lcolarado1,Traffic,39019 - ,,,,,careerpro.com,htc onebranded term (brand/client name),http://www.t-mobile.com/cell-phones/htc-one-m9.html,,,
39021,covario (iProspect),CON114010 T-mobile A-2 Feb 16,lcolarado1,Traffic,39021 - ,,,,,desiretoinspire.net,cell phones branded term (brand/client name),http://www.t-mobile.com/cell-phones.html,,,
39022,covario (iProspect),CON114010 T-mobile A-2 Feb 16,lcolarado1,Traffic,39022 - ,,,,,prestaplayers.com,smartwatch long-tail variation (exact match keyword in a phrase match format),http://www.t-mobile.com/offer/smartwatch-wearable-technology.html,,,
39023,covario (iProspect),CON114010 T-mobile A-2 Feb 16,lcolarado1,Traffic,39023 - ,,,,,we-heart.com,smartphone branded term (brand/client name),http://www.t-mobile.com/cell-phones.html,,,
39024,covario (iProspect),CON114010 T-mobile A-2 Feb 16,lcolarado1,Traffic,39024 - ,,,,,boomerbrief.com,"sim card unrelated keyword (this could be “more information”, “click here”)",https://prepaid-phones.t-mobile.com/sim-card,,,
39025,covario (iProspect),CON114010 T-mobile A-2 Feb 16,lcolarado1,Traffic,39025 - ,,,,,savingadvice.com,smartphones branded term (brand/client name),http://www.t-mobile.com/cell-phones.html,,,
39026,covario (iProspect),CON114010 T-mobile A-2 Feb 16,lcolarado1,Traffic,39026 - ,,,,,brandwz.com,Galaxy Gear long-tail variation (exact match keyword in a phrase match format),http://www.t-mobile.com/internet-devices/samsung-gear-s2.html,,,
