Task ID,Client,Campaign,Channel,Tier: Order,Title,Direction,Resource Link 1,Resource Link 2,Resource Link 3,Desired Placement,Anchor Text,Target URL,Website Example,Client Comment,Extra Writer Notes
38985,covario (iProspect),CON114010 T-mobile A-2 Feb 16,lcolarado1,Traffic,38985 - ,,,,,digitalconnectmag.com,samsung galaxy s6 branded term (brand/client name),http://www.t-mobile.com/cell-phones/samsung-galaxy-s-6.html,,,
38986,covario (iProspect),CON114010 T-mobile A-2 Feb 16,lcolarado1,Traffic,38986 - ,,,,,sbomag.com,samsung galaxy s6 long-tail variation (exact match keyword in a phrase match format),http://www.t-mobile.com/cell-phones/samsung-galaxy-s-6.html,,,
38988,covario (iProspect),CON114010 T-mobile A-2 Feb 16,lcolarado1,Traffic,38988 - ,,,,,blogs.naturalnews.com,iPhone 5S branded variation (client name + keywords),http://www.t-mobile.com/cell-phones/apple-iphone-5s.html,,,
38989,covario (iProspect),CON114010 T-mobile A-2 Feb 16,lcolarado1,Traffic,38989 - ,,,,,groundreport.com,iphone 6s plus branded term (brand/client name),http://www.t-mobile.com/cell-phones/apple-iphone-6s-plus.html,,,
38990,covario (iProspect),CON114010 T-mobile A-2 Feb 16,lcolarado1,Traffic,38990 - ,,,,,business2community.com,"iphone 6s plus unrelated keyword (this could be “more information”, “click here”)",http://www.t-mobile.com/cell-phones/apple-iphone-6s-plus.html,,,
38992,covario (iProspect),CON114010 T-mobile A-2 Feb 16,lcolarado1,Traffic,38992 - ,,,,,hirharang.com,"ipad pro unrelated keyword (this could be “more information”, “click here”)",https://explore.t-mobile.com/ipad-pro,,,
38993,covario (iProspect),CON114010 T-mobile A-2 Feb 16,lcolarado1,Traffic,38993 - ,,,,,thecollegeinvestor.com,lg v10 branded term (brand/client name),http://www.t-mobile.com/cell-phones/lg-v10.html,,,
38994,covario (iProspect),CON114010 T-mobile A-2 Feb 16,lcolarado1,Traffic,38994 - ,,,,,topdreamer.com,lg v10 branded variation (client name + keywords),http://www.t-mobile.com/cell-phones/lg-v10.html,,,
38995,covario (iProspect),CON114010 T-mobile A-2 Feb 16,lcolarado1,Attention,38995 - ,,,,,lifeadvancer.com,galaxy s6 branded term (brand/client name),http://www.t-mobile.com/cell-phones/samsung-galaxy-s-6.html,,,
38998,covario (iProspect),CON114010 T-mobile A-2 Feb 16,lcolarado1,Traffic,38998 - ,,,,,digitaljournal.com,Galaxy note 5 long-tail variation (exact match keyword in a phrase match format),http://www.t-mobile.com/cell-phones/samsung-galaxy-note5.html,,,
38999,covario (iProspect),CON114010 T-mobile A-2 Feb 16,lcolarado1,Traffic,38999 - ,,,,,lenpenzo.com,Lg g4 branded term (brand/client name),http://www.t-mobile.com/cell-phones/lg-g4.html,,,
39000,covario (iProspect),CON114010 T-mobile A-2 Feb 16,lcolarado1,Traffic,39000 - ,,,,,techpatio.com,Lg g4 branded term (brand/client name),http://www.t-mobile.com/cell-phones/lg-g4.html,,,
39007,covario (iProspect),CON114010 T-mobile A-2 Feb 16,lcolarado1,Traffic,39007 - ,,,,,gadgetadvisor.com,samsung gear s2 branded term (brand/client name),http://www.t-mobile.com/internet-devices/samsung-gear-s2.html,,,
39008,covario (iProspect),CON114010 T-mobile A-2 Feb 16,lcolarado1,Traffic,39008 - ,,,,,geekswithblogs.net,"samsung gear s2 unrelated keyword (this could be “more information”, “click here”)",http://www.t-mobile.com/internet-devices/samsung-gear-s2.html,,,
