Task ID,Client,Campaign,Channel,Tier: Order,Title,Direction,Resource Link 1,Resource Link 2,Resource Link 3,Desired Placement,Anchor Text,Target URL,Website Example,Client Comment,Extra Writer Notes
39257,Mediagistic (Mediagistic),CON255006 HVAC March 16,lcolarado1,Budget,39257 - ,,,,,upliftingfamilies.com,natural,http://robertsheating.com/,,,
39258,Mediagistic (Mediagistic),CON255006 HVAC March 16,lcolarado1,Budget,39258 - ,,,,,thingsthatmakepeoplegoaww.com,natural,http://robertsheating.com/,,,
39259,Mediagistic (Mediagistic),CON255006 HVAC March 16,lcolarado1,Budget,39259 - ,,,,,sixfeetunderblog.com,natural,http://byrdheatingandair.com/,,,
39260,Mediagistic (Mediagistic),CON255006 HVAC March 16,lcolarado1,Budget,39260 - ,,,,,littlecrunchy.com,natural,http://byrdheatingandair.com/,,,
39261,Mediagistic (Mediagistic),CON255006 HVAC March 16,lcolarado1,Budget,39261 - ,,,,,coupondipity.com,natural,http://boundshvac.com/,,,
39262,Mediagistic (Mediagistic),CON255006 HVAC March 16,lcolarado1,Budget,39262 - ,,,,,dazzlingdailydeals.com,natural,http://boundshvac.com/,,,
39263,Mediagistic (Mediagistic),CON255006 HVAC March 16,lcolarado1,Budget,39263 - ,,,,,triciastreasure.com,natural,http://bass-air.com/,,,
39264,Mediagistic (Mediagistic),CON255006 HVAC March 16,lcolarado1,Budget,39264 - ,,,,,beautyisintheeyeoftheb.com,natural,http://bass-air.com/,,,
39265,Mediagistic (Mediagistic),CON255006 HVAC March 16,lcolarado1,Budget,39265 - ,,,,,blogwithmom.com,natural,davisac.com,,,
39266,Mediagistic (Mediagistic),CON255006 HVAC March 16,lcolarado1,Budget,39266 - ,,,,,bullocksbuzz.com,natural,davisac.com,,,
39267,Mediagistic (Mediagistic),CON255006 HVAC March 16,lcolarado1,Budget,39267 - ,,,,,ericastartwalking.com,natural,senicaair.com,,,
39268,Mediagistic (Mediagistic),CON255006 HVAC March 16,lcolarado1,Budget,39268 - ,,,,,misadvmom.com,natural,senicaair.com,,,
39269,Mediagistic (Mediagistic),CON255006 HVAC March 16,lcolarado1,Budget,39269 - ,,,,,mommysfavoritethings.com,natural,bryansunited.com,,,
39270,Mediagistic (Mediagistic),CON255006 HVAC March 16,lcolarado1,Budget,39270 - ,,,,,saviorcents.com,natural,bryansunited.com,,,
39271,Mediagistic (Mediagistic),CON255006 HVAC March 16,lcolarado1,Budget,39271 - ,,,,,theresasmixednuts.com,natural,dentairconditioning.com,,,
39272,Mediagistic (Mediagistic),CON255006 HVAC March 16,lcolarado1,Budget,39272 - ,,,,,womanofmanyroles.com,natural,dentairconditioning.com,,,
39275,Mediagistic (Mediagistic),CON255006 HVAC March 16,lcolarado1,Budget,39275 - ,,,,,deafblindconfessions.com,natural,joplins.net,,,
39277,Mediagistic (Mediagistic),CON255006 HVAC March 16,lcolarado1,Budget,39277 - ,,,,,uprunforlife.com,natural,joplins.net,,,
39278,Mediagistic (Mediagistic),CON255006 HVAC March 16,lcolarado1,Budget,39278 - ,,,,,thriftymom613.com,natural,joplins.net,,,
39279,Mediagistic (Mediagistic),CON255006 HVAC March 16,lcolarado1,Budget,39279 - ,,,,,ohmyheartsiegirl.com,natural,joplins.net,,,
