Task ID,Client,Campaign,Channel,Tier: Order,Title,Direction,Resource Link 1,Resource Link 2,Resource Link 3,Desired Placement,Anchor Text,Target URL,Website Example,Client Comment,Extra Writer Notes
39257,Mediagistic (Mediagistic),CON255006 HVAC March 16,lcolarado1,Budget,39257 - ,,,,,upliftingfamilies.com,natural,http://robertsheating.com/,,,
39258,Mediagistic (Mediagistic),CON255006 HVAC March 16,lcolarado1,Budget,39258 - ,,,,,thingsthatmakepeoplegoaww.com,natural,http://robertsheating.com/,,,
39261,Mediagistic (Mediagistic),CON255006 HVAC March 16,lcolarado1,Budget,39261 - ,,,,,coupondipity.com,natural,http://boundshvac.com/,,,
39263,Mediagistic (Mediagistic),CON255006 HVAC March 16,lcolarado1,Budget,39263 - ,,,,,triciastreasure.com,natural,http://bass-air.com/,,,
39265,Mediagistic (Mediagistic),CON255006 HVAC March 16,lcolarado1,Budget,39265 - ,,,,,blogwithmom.com,natural,davisac.com,,,
39268,Mediagistic (Mediagistic),CON255006 HVAC March 16,lcolarado1,Budget,39268 - ,,,,,misadvmom.com,natural,senicaair.com,,,
39269,Mediagistic (Mediagistic),CON255006 HVAC March 16,lcolarado1,Budget,39269 - ,,,,,mommysfavoritethings.com,natural,bryansunited.com,,,
39272,Mediagistic (Mediagistic),CON255006 HVAC March 16,lcolarado1,Budget,39272 - ,,,,,womanofmanyroles.com,natural,dentairconditioning.com,,,
39275,Mediagistic (Mediagistic),CON255006 HVAC March 16,lcolarado1,Budget,39275 - ,,,,,deafblindconfessions.com,natural,joplins.net,,,
39277,Mediagistic (Mediagistic),CON255006 HVAC March 16,lcolarado1,Budget,39277 - ,,,,,uprunforlife.com,natural,joplins.net,,,
