Task ID,Client,Campaign,Channel,Tier: Order,Title,Direction,Resource Link 1,Resource Link 2,Resource Link 3,Desired Placement,Anchor Text,Target URL,Website Example,Client Comment,Extra Writer Notes
40952,Mediagistic (Mediagistic),CON255006 HVAC April 16,lcolarado1,Budget,40952 - ,,,,,mixandchic.com,United Air Conditioning,unitedairconditioning.com,,,
40953,Mediagistic (Mediagistic),CON255006 HVAC April 16,lcolarado1,Budget,40953 - ,,,,,mixandchic.com,Ocean State,http://oceanstateac.com/,,,
40954,Mediagistic (Mediagistic),CON255006 HVAC April 16,lcolarado1,Budget,40954 - ,,,,,mixandchic.com,Air Specialty,http://air-specialty.com/,,,
40955,Mediagistic (Mediagistic),CON255006 HVAC April 16,lcolarado1,Budget,40955 - ,,,,,littlemissdexterous.com,Indoor Solutions,isihvac.com,,,
40956,Mediagistic (Mediagistic),CON255006 HVAC April 16,lcolarado1,Budget,40956 - ,,,,,littlemissdexterous.com,Air Control Heating and Cooling Inc.,aircontrolheatingandcooling.com,,,
40957,Mediagistic (Mediagistic),CON255006 HVAC April 16,lcolarado1,Budget,40957 - ,,,,,littlemissdexterous.com,Thermacon Service Co.,http://thermaconservice.com/,,,
40958,Mediagistic (Mediagistic),CON255006 HVAC April 16,lcolarado1,Budget,40958 - ,,,,,littlemissdexterous.com,Air Conditioning by Luquire,http://www.acbyluquire.com/,,,
40959,Mediagistic (Mediagistic),CON255006 HVAC April 16,lcolarado1,Budget,40959 - ,,,,,littlemissdexterous.com,Dyess Heating &amp; Air,http://dyessair.com/,,,
40984,Mediagistic (Mediagistic),CON255006 HVAC April 16,lcolarado1,Budget,40984 - ,,,,,georyl.com,United Air Conditioning,unitedairconditioning.com,,,
40985,Mediagistic (Mediagistic),CON255006 HVAC April 16,lcolarado1,Budget,40985 - ,,,,,georyl.com,Ocean State,http://oceanstateac.com/,,,
40986,Mediagistic (Mediagistic),CON255006 HVAC April 16,lcolarado1,Budget,40986 - ,,,,,georyl.com,Air Specialty,http://air-specialty.com/,,,
40987,Mediagistic (Mediagistic),CON255006 HVAC April 16,Damarley,Budget,40987 - ,,,,,homefamilyheart.com,Indoor Solutions,isihvac.com,,,
40988,Mediagistic (Mediagistic),CON255006 HVAC April 16,lcolarado1,Budget,40988 - ,,,,,homebuilder-implode.com,Air Control Heating and Cooling Inc.,aircontrolheatingandcooling.com,,,
40989,Mediagistic (Mediagistic),CON255006 HVAC April 16,Damarley,Budget,40989 - ,,,,,,Thermacon Service Co.,http://thermaconservice.com/,,,
40990,Mediagistic (Mediagistic),CON255006 HVAC April 16,lcolarado1,Budget,40990 - ,,,,,energycentral.com,Air Conditioning by Luquire,http://www.acbyluquire.com/,,,
40991,Mediagistic (Mediagistic),CON255006 HVAC April 16,Damarley,Budget,40991 - ,,,,,atarimdesign.com,Dyess Heating &amp; Air,http://dyessair.com/,,,
40997,Mediagistic (Mediagistic),CON255006 HVAC April 16,lcolarado1,Budget,40997 - ,,,,,lifewithlorelai.com,Aqua,http://www.aquaplumbingsarasota.com/blog/maintenance-makes-a-huge-difference-in-your-hvacs-life-cycle,,,
39239,Mediagistic (Mediagistic),CON255006 HVAC March 16,lcolarado1,Budget,39239 - ,,,,,scrapality.com,natural,allseasonsservicenetwork.com,,,
39253,Mediagistic (Mediagistic),CON255006 HVAC March 16,lcolarado1,Budget,39253 - ,,,,,scrapality.com,natural,http://mcdevittair.com/,,,
39254,Mediagistic (Mediagistic),CON255006 HVAC March 16,lcolarado1,Budget,39254 - ,,,,,mixandchic.com,natural,http://mcdevittair.com/,,,
39255,Mediagistic (Mediagistic),CON255006 HVAC March 16,lcolarado1,Budget,39255 - ,,,,,mixandchic.com,natural,http://www.calldougs.com/,,,
39256,Mediagistic (Mediagistic),CON255006 HVAC March 16,lcolarado1,Budget,39256 - ,,,,,stylevanity.com,natural,http://www.calldougs.com/,,,
39259,Mediagistic (Mediagistic),CON255006 HVAC March 16,lcolarado1,Budget,39259 - ,,,,,sixfeetunderblog.com,natural,http://byrdheatingandair.com/,,,
39260,Mediagistic (Mediagistic),CON255006 HVAC March 16,lcolarado1,Budget,39260 - ,,,,,littlecrunchy.com,natural,http://byrdheatingandair.com/,,,
39262,Mediagistic (Mediagistic),CON255006 HVAC March 16,lcolarado1,Budget,39262 - ,,,,,dazzlingdailydeals.com,natural,http://boundshvac.com/,,,
39264,Mediagistic (Mediagistic),CON255006 HVAC March 16,lcolarado1,Budget,39264 - ,,,,,lifewithlorelai.com,natural,http://bass-air.com/,,,
39266,Mediagistic (Mediagistic),CON255006 HVAC March 16,lcolarado1,Budget,39266 - ,,,,,bullocksbuzz.com,natural,davisac.com,,,
39267,Mediagistic (Mediagistic),CON255006 HVAC March 16,lcolarado1,Budget,39267 - ,,,,,ericastartwalking.com,natural,senicaair.com,,,
39270,Mediagistic (Mediagistic),CON255006 HVAC March 16,lcolarado1,Budget,39270 - ,,,,,saviorcents.com,natural,bryansunited.com,,,
39271,Mediagistic (Mediagistic),CON255006 HVAC March 16,Damarley,Budget,39271 - ,,,,,homefamilyheart.com,natural,dentairconditioning.com,,,
39278,Mediagistic (Mediagistic),CON255006 HVAC March 16,lcolarado1,Budget,39278 - ,,,,,thriftymom613.com,natural,joplins.net,,,
39279,Mediagistic (Mediagistic),CON255006 HVAC March 16,lcolarado1,Budget,39279 - ,,,,,ohmyheartsiegirl.com,natural,joplins.net,,,
