Task ID,Client,Campaign,Channel,Tier: Order,Title,Direction,Resource Link 1,Resource Link 2,Resource Link 3,Desired Placement,Anchor Text,Target URL,Website Example,Client Comment,Extra Writer Notes
39933,SkyhighNetworks (Skyhigh Networks),CON386002 SkyHigh Networks March 15,lcolarado1,Traffic,39933 - ,,,,,techpreds.com,natural/writer&#039;s choice,https://www.skyhighnetworks.com/product/box-security/,,,
39934,SkyhighNetworks (Skyhigh Networks),CON386002 SkyHigh Networks March 15,lcolarado1,Traffic,39934 - ,,,,,appstechnews.com,natural/writer&#039;s choice,https://www.skyhighnetworks.com/product/box-security/,,,
39935,SkyhighNetworks (Skyhigh Networks),CON386002 SkyHigh Networks March 15,lcolarado1,Traffic,39935 - ,,,,,techfruit.com,natural/writer&#039;s choice,https://www.skyhighnetworks.com/product/box-security/,,,
39936,SkyhighNetworks (Skyhigh Networks),CON386002 SkyHigh Networks March 15,lcolarado1,Traffic,39936 - ,,,,,makingdifferent.com,natural/writer&#039;s choice,https://www.skyhighnetworks.com/product/box-security/,,,
39937,SkyhighNetworks (Skyhigh Networks),CON386002 SkyHigh Networks March 15,lcolarado1,Traffic,39937 - ,,,,,lerablog.org,natural/writer&#039;s choice,https://www.skyhighnetworks.com/product/box-security/,,,
39938,SkyhighNetworks (Skyhigh Networks),CON386002 SkyHigh Networks March 15,lcolarado1,Traffic,39938 - ,,,,,gadgetadvisor.com,natural/writer&#039;s choice,https://www.skyhighnetworks.com/product/box-security/,,,
39939,SkyhighNetworks (Skyhigh Networks),CON386002 SkyHigh Networks March 15,lcolarado1,Traffic,39939 - ,,,,,bellenews.com,natural/writer&#039;s choice,https://www.skyhighnetworks.com/product/box-security/,,,
39940,SkyhighNetworks (Skyhigh Networks),CON386002 SkyHigh Networks March 15,lcolarado1,Traffic,39940 - ,,,,,fooyoh.com,natural/writer&#039;s choice,https://www.skyhighnetworks.com/product/box-security/,,,
39941,SkyhighNetworks (Skyhigh Networks),CON386002 SkyHigh Networks March 15,lcolarado1,Traffic,39941 - ,,,,,techgyd.com,natural/writer&#039;s choice,https://www.skyhighnetworks.com/product/box-security/,,,
39942,SkyhighNetworks (Skyhigh Networks),CON386002 SkyHigh Networks March 15,lcolarado1,Traffic,39942 - ,,,,,techreleased.com,natural/writer&#039;s choice,https://www.skyhighnetworks.com/product/box-security/,,,
39943,SkyhighNetworks (Skyhigh Networks),CON386002 SkyHigh Networks March 15,lcolarado1,Traffic,39943 - ,,,,,infotainmentnews.net,natural/writer&#039;s choice,https://www.skyhighnetworks.com/product/salesforce-security/,,,
39944,SkyhighNetworks (Skyhigh Networks),CON386002 SkyHigh Networks March 15,lcolarado1,Traffic,39944 - ,,,,,theallineed.com,natural/writer&#039;s choice,https://www.skyhighnetworks.com/product/salesforce-security/,,,
39945,SkyhighNetworks (Skyhigh Networks),CON386002 SkyHigh Networks March 15,lcolarado1,Traffic,39945 - ,,,,,techeye.net,natural/writer&#039;s choice,https://www.skyhighnetworks.com/product/salesforce-security/,,,
39946,SkyhighNetworks (Skyhigh Networks),CON386002 SkyHigh Networks March 15,lcolarado1,Traffic,39946 - ,,,,,amongtech.com,natural/writer&#039;s choice,https://www.skyhighnetworks.com/product/salesforce-security/,,,
39947,SkyhighNetworks (Skyhigh Networks),CON386002 SkyHigh Networks March 15,lcolarado1,Traffic,39947 - ,,,,,techgyo.com,natural/writer&#039;s choice,https://www.skyhighnetworks.com/product/salesforce-security/,,,
