Task ID,Client,Campaign,Channel,Tier: Order,Title,Direction,Resource Link 1,Resource Link 2,Resource Link 3,Desired Placement,Anchor Text,Target URL,Website Example,Client Comment,Extra Writer Notes
39596,covario (iProspect),CON114010 T-Mobile A-2 March 16,lcolarado1,Traffic,39596 - IG intro- Tax Myth- 39596,"This assignment is for an introduction to an infographic. In the dropbox link provided you will find both the IG and an already written introduction. Your directions are to make that pre-written introduction into a 200-300 word unique intro for the IG. You can use what is already written as a reference to write your own, or you can revise/re-word the pre-written intro to be unique (it must be unique). The intro you are writing must naturally include the AT and URL provided.  Do not make subheads.",https://www.dropbox.com/sh/swn5kbhsylfh9ff/AACn86TdhjdjdgL2onOG60E3a?dl=0,n/a,n/a,moneyforlunch.com,iphone 6s branded term (brand/client name),http://www.t-mobile.com/cell-phones/apple-iphone-6s.html,,,
39597,covario (iProspect),CON114010 T-Mobile A-2 March 16,lcolarado1,Traffic,39597 - IG intro- Tax Myth- 39597,"This assignment is for an introduction to an infographic. In the dropbox link provided you will find both the IG and an already written introduction. Your directions are to make that pre-written introduction into a 200-300 word unique intro for the IG. You can use what is already written as a reference to write your own, or you can revise/re-word the pre-written intro to be unique (it must be unique). The intro you are writing must naturally include the AT and URL provided.  Do not make subheads.",https://www.dropbox.com/sh/swn5kbhsylfh9ff/AACn86TdhjdjdgL2onOG60E3a?dl=0,n/a,n/a,cleverdude.com,apple watch branded term (brand/client name),http://explore.t-mobile.com/apple-watch-sport,,,
39598,covario (iProspect),CON114010 T-Mobile A-2 March 16,lcolarado1,Traffic,39598 - IG Intro- Tax Myth- 39598,"This assignment is for an introduction to an infographic. In the dropbox link provided you will find both the IG and an already written introduction. Your directions are to make that pre-written introduction into a 200-300 word unique intro for the IG. You can use what is already written as a reference to write your own, or you can revise/re-word the pre-written intro to be unique (it must be unique). The intro you are writing must naturally include the AT and URL provided.  Do not make subheads.",https://www.dropbox.com/sh/swn5kbhsylfh9ff/AACn86TdhjdjdgL2onOG60E3a?dl=0,n/a,n/a,debtroundup.com,ipad pro long-tail variation (exact match keyword in a phrase match format),https://explore.t-mobile.com/ipad-pro,,,
39599,covario (iProspect),CON114010 T-Mobile A-2 March 16,lcolarado1,Traffic,39599 - IG Intro- Tax Myth- 39599,"This assignment is for an introduction to an infographic. In the dropbox link provided you will find both the IG and an already written introduction. Your directions are to make that pre-written introduction into a 200-300 word unique intro for the IG. You can use what is already written as a reference to write your own, or you can revise/re-word the pre-written intro to be unique (it must be unique). The intro you are writing must naturally include the AT and URL provided.  Do not make subheads.",https://www.dropbox.com/sh/swn5kbhsylfh9ff/AACn86TdhjdjdgL2onOG60E3a?dl=0,n/a,n/a,youngadultmoney.com,iphone 6 branded term (brand/client name),http://www.t-mobile.com/cell-phones/apple-iphone-6.html,,,
39600,covario (iProspect),CON114010 T-Mobile A-2 March 16,lcolarado1,Traffic,39600 - IG Intro- Tax Myth- 39600,"This assignment is for an introduction to an infographic. In the dropbox link provided you will find both the IG and an already written introduction. Your directions are to make that pre-written introduction into a 200-300 word unique intro for the IG. You can use what is already written as a reference to write your own, or you can revise/re-word the pre-written intro to be unique (it must be unique). The intro you are writing must naturally include the AT and URL provided.  Do not make subheads.",https://www.dropbox.com/sh/swn5kbhsylfh9ff/AACn86TdhjdjdgL2onOG60E3a?dl=0,n/a,n/a,makingsenseofcents.com,samsung galaxy s6 branded variation (client name + keywords),http://www.t-mobile.com/cell-phones/samsung-galaxy-s-6.html,,,
39601,covario (iProspect),CON114010 T-Mobile A-2 March 16,lcolarado1,Traffic,39601 - IG Intro- Tax Myth- 39601,"This assignment is for an introduction to an infographic. In the dropbox link provided you will find both the IG and an already written introduction. Your directions are to make that pre-written introduction into a 200-300 word unique intro for the IG. You can use what is already written as a reference to write your own, or you can revise/re-word the pre-written intro to be unique (it must be unique). The intro you are writing must naturally include the AT and URL provided.  Do not make subheads.",https://www.dropbox.com/sh/swn5kbhsylfh9ff/AACn86TdhjdjdgL2onOG60E3a?dl=0,n/a,n/a,20smoney.com,iPhone 5S branded term (brand/client name),http://www.t-mobile.com/cell-phones/apple-iphone-5s.html,,,
39602,covario (iProspect),CON114010 T-Mobile A-2 March 16,lcolarado1,Traffic,39602 - IG Intro- Tax Myth- 39602,"This assignment is for an introduction to an infographic. In the dropbox link provided you will find both the IG and an already written introduction. Your directions are to make that pre-written introduction into a 200-300 word unique intro for the IG. You can use what is already written as a reference to write your own, or you can revise/re-word the pre-written intro to be unique (it must be unique). The intro you are writing must naturally include the AT and URL provided.  Do not make subheads.",https://www.dropbox.com/sh/swn5kbhsylfh9ff/AACn86TdhjdjdgL2onOG60E3a?dl=0,n/a,n/a,,"iPhone 6 Plus unrelated keyword (this could be “more information”, “click here”)",http://www.t-mobile.com/cell-phones/apple-iphone-6-plus.html,,,
39603,covario (iProspect),CON114010 T-Mobile A-2 March 16,lcolarado1,Traffic,39603 - IG Intro- Tax Myth- 39603,"This assignment is for an introduction to an infographic. In the dropbox link provided you will find both the IG and an already written introduction. Your directions are to make that pre-written introduction into a 200-300 word unique intro for the IG. You can use what is already written as a reference to write your own, or you can revise/re-word the pre-written intro to be unique (it must be unique). The intro you are writing must naturally include the AT and URL provided.  Do not make subheads.",https://www.dropbox.com/sh/swn5kbhsylfh9ff/AACn86TdhjdjdgL2onOG60E3a?dl=0,n/a,n/a,savvyscot.com,iphone 6s plus branded term (brand/client name),http://www.t-mobile.com/cell-phones/apple-iphone-6s-plus.html,,,
39604,covario (iProspect),CON114010 T-Mobile A-2 March 16,lcolarado1,Traffic,39604 - IG Intro- Tax Myth- 39604,"This assignment is for an introduction to an infographic. In the dropbox link provided you will find both the IG and an already written introduction. Your directions are to make that pre-written introduction into a 200-300 word unique intro for the IG. You can use what is already written as a reference to write your own, or you can revise/re-word the pre-written intro to be unique (it must be unique). The intro you are writing must naturally include the AT and URL provided.  Do not make subheads.",https://www.dropbox.com/sh/swn5kbhsylfh9ff/AACn86TdhjdjdgL2onOG60E3a?dl=0,n/a,n/a,yourpfpro.com,lg v10 branded variation (client name + keywords),http://www.t-mobile.com/cell-phones/lg-v10.html,,,
39706,covario (iProspect),CON114010 T-Mobile A-2 March 16,lcolarado1,Traffic,39706 - IG Intro- Tax Myth- 39706,"This assignment is for an introduction to an infographic. In the dropbox link provided you will find both the IG and an already written introduction. Your directions are to make that pre-written introduction into a 200-300 word unique intro for the IG. You can use what is already written as a reference to write your own, or you can revise/re-word the pre-written intro to be unique (it must be unique). The intro you are writing must naturally include the AT and URL provided.  Do not make subheads.",https://www.dropbox.com/sh/swn5kbhsylfh9ff/AACn86TdhjdjdgL2onOG60E3a?dl=0,n/a,n/a,modestmoney.com,LG G5 branded term (brand/client name),http://www.t-mobile.com/cell-phones/lg-g5.html,,,
