Task ID,Client,Campaign,Channel,Tier: Order,Title,Direction,Resource Link 1,Resource Link 2,Resource Link 3,Desired Placement,Anchor Text,Target URL,Website Example,Client Comment,Extra Writer Notes
40147,IHG (IHG),CON134010 IHG April 16,ECapatides,Attention,40147 - Writer's Choice,"500 words: Please come up with your own unique topic and title for this piece. The topic should be local and specific to the city in the Target URL. Please do not come up with a topic that is timeboxed. Make sure you include the Target URL with a natural, no exact match commercial, long tail preferred, anchor text. Please READ THE ENTIRE STYLE GUIDE before writing the article. PLEASE DO NOT PUBLISH THIS ARTICLE UNTIL YOU RECEIVE CLIENT APPROVAL FROM THE PROJECT MANAGER. Let us know if you have any questions!      ",n/a,n/a,n/a,goingawesomeplaces.com,Natural - No exact match commercial - long tail preferred,http://www.ihg.com/destinations/us/en/united-states/illinois/chicago-hotels,,Will Tang - $.20,
40148,IHG (IHG),CON134010 IHG April 16,ECapatides,Attention,40148 - Writer's Choice,"500 words: Please come up with your own unique topic and title for this piece. The topic should be local and specific to the city in the Target URL. Please do not come up with a topic that is timeboxed. Make sure you include the Target URL with a natural, no exact match commercial, long tail preferred, anchor text. Please READ THE ENTIRE STYLE GUIDE before writing the article. PLEASE DO NOT PUBLISH THIS ARTICLE UNTIL YOU RECEIVE CLIENT APPROVAL FROM THE PROJECT MANAGER. Let us know if you have any questions!      ",n/a,n/a,n/a,goingawesomeplaces.com,Natural - No exact match commercial - long tail preferred,http://www.ihg.com/destinations/us/en/united-states/illinois/chicago-hotels,,Will Tang - $.20,
40149,IHG (IHG),CON134010 IHG April 16,ECapatides,Attention,40149 - Writer's Choice,"500 words: Please come up with your own unique topic and title for this piece. The topic should be local and specific to the city in the Target URL. Please do not come up with a topic that is timeboxed. Make sure you include the Target URL with a natural, no exact match commercial, long tail preferred, anchor text. Please READ THE ENTIRE STYLE GUIDE before writing the article. PLEASE DO NOT PUBLISH THIS ARTICLE UNTIL YOU RECEIVE CLIENT APPROVAL FROM THE PROJECT MANAGER. Let us know if you have any questions!",n/a,n/a,n/a,iluv2globetrot.com,Natural - No exact match commercial - long tail preferred,http://www.ihg.com/destinations/us/en/united-states/illinois/chicago-hotels,,Nicole Brewer - $.20,
40153,IHG (IHG),CON134010 IHG April 16,ECapatides,Attention,40153 - Writer's Choice,"500 words: Please come up with your own unique topic and title for this piece. The topic should be local and specific to the city in the Target URL. Please do not come up with a topic that is timeboxed. Make sure you include the Target URL with a natural, no exact match commercial, long tail preferred, anchor text. Please READ THE ENTIRE STYLE GUIDE before writing the article. Let us know if you have any questions! DO NOT PUBLISH THIS ARTICLE UNTIL WE GIVE YOU CLIENT APPROVAL.                                         ",tbd,tbd,tbd,gottakeepmovin.com,Natural - No exact match commercial - long tail preferred,http://www.ihg.com/destinations/us/en/united-states/illinois/chicago-hotels,,Emma Higgins - $.25,
40162,IHG (IHG),CON134010 IHG April 16,ECapatides,Attention,40162 - Writer's Choice,"500 words: Please come up with your own unique topic and title for this piece. The topic should be local and specific to the city in the Target URL. Please do not come up with a topic that is timeboxed. Make sure you include the Target URL with a natural, no exact match commercial, long tail preferred, anchor text. Please READ THE ENTIRE STYLE GUIDE before writing the article. Let us know if you have any questions! DO NOT PUBLISH THIS ARTICLE UNTIL WE GIVE YOU CLIENT APPROVAL.                                                   ",tbd,tbd,tbd,dishourtown.com,Natural - No exact match commercial - long tail preferred,http://www.ihg.com/destinations/us/en/singapore/singapore-hotels,,Brenda Tolentino - $.20,
40169,IHG (IHG),CON134010 IHG April 16,ECapatides,Attention,40169 - Writer's Choice,"500 words: Please come up with your own unique topic and title for this piece. The topic should be local and specific to the city in the Target URL. Please do not come up with a topic that is timeboxed. Make sure you include the Target URL with a natural, no exact match commercial, long tail preferred, anchor text. Please READ THE ENTIRE STYLE GUIDE before writing the article. Let us know if you have any questions! DO NOT PUBLISH UNTIL WE SEND YOU THE CLIENT APPROVED CONTENT.     ",N/A,N/A,N/A,quirkytravelguy.com,Natural - No exact match commercial - long tail preferred,http://www.ihg.com/destinations/us/en/united-states/arizona/phoenix-hotels,,Scott Shetler - $.13,
40171,IHG (IHG),CON134010 IHG April 16,ECapatides,Attention,40171 - Writer's Choice,"500 words: Please come up with your own unique topic and title for this piece. The topic should be local and specific to the city in the Target URL. Please do not come up with a topic that is timeboxed. Make sure you include the Target URL with a natural, no exact match commercial, long tail preferred, anchor text. Please READ THE ENTIRE STYLE GUIDE before writing the article. Let us know if you have any questions! DO NOT PUBLISH UNTIL WE SEND YOU THE CLIENT APPROVED CONTENT.                                          ",N/A,N/A,N/A,gottakeepmovin.com,Natural - No exact match commercial - long tail preferred,http://www.ihg.com/destinations/us/en/united-states/tennessee/nashville-hotels,,Emma Higgins - $.25,
41867,IHG (IHG),CON134010 IHG April 16,ECapatides,Attention,41867 - Writer's Choice,"500 words: Please come up with your own unique topic and title for this piece. The topic should be local and specific to the city in the Target URL. Please do not come up with a topic that is timeboxed. Make sure you include the Target URL with a natural, no exact match commercial, long tail preferred, anchor text. Please READ THE ENTIRE STYLE GUIDE before writing the article. PLEASE DO NOT PUBLISH THIS ARTICLE UNTIL YOU RECEIVE CLIENT APPROVAL FROM THE PROJECT MANAGER. Let us know if you have any questions!      ",n/a,n/a,n/a,takemetotheworld.com,Natural - No exact match commercial - long tail preferred,http://www.ihg.com/destinations/us/en/united-arab-emirates/dubai-hotels,,Alouise Dittrick - $.10,
41868,IHG (IHG),CON134010 IHG April 16,ECapatides,Attention,41868 - Writer's Choice,"500 words: Please come up with your own unique topic and title for this piece. The topic should be local and specific to the city in the Target URL. Please do not come up with a topic that is timeboxed. Make sure you include the Target URL with a natural, no exact match commercial, long tail preferred, anchor text. Please READ THE ENTIRE STYLE GUIDE before writing the article. PLEASE DO NOT PUBLISH THIS ARTICLE UNTIL YOU RECEIVE CLIENT APPROVAL FROM THE PROJECT MANAGER. Let us know if you have any questions!                                           ",n/a,n/a,n/a,thewanderinggourmand.com,Natural - No exact match commercial - long tail preferred,http://www.ihg.com/destinations/us/en/united-arab-emirates/dubai-hotels,,Bryan Richards - $.11,
41869,IHG (IHG),CON134010 IHG April 16,ECapatides,Attention,41869 - Writer's Choice,"500 words: Please come up with your own unique topic and title for this piece. The topic should be local and specific to the city in the Target URL. Please do not come up with a topic that is timeboxed. Make sure you include the Target URL with a natural, no exact match commercial, long tail preferred, anchor text. Please READ THE ENTIRE STYLE GUIDE before writing the article. PLEASE DO NOT PUBLISH THIS ARTICLE UNTIL YOU RECEIVE CLIENT APPROVAL FROM THE PROJECT MANAGER. Let us know if you have any questions!                                           ",n/a,n/a,n/a,thislifeintrips.com,Natural - No exact match commercial - long tail preferred,http://www.ihg.com/destinations/us/en/united-arab-emirates/dubai-hotels,,Shaun Robertson - $.12,
41870,IHG (IHG),CON134010 IHG April 16,ECapatides,Attention,41870 - Writer's Choice,"500 words: Please come up with your own unique topic and title for this piece. The topic should be local and specific to the city in the Target URL. Please do not come up with a topic that is timeboxed. Make sure you include the Target URL with a natural, no exact match commercial, long tail preferred, anchor text. Please READ THE ENTIRE STYLE GUIDE before writing the article. PLEASE DO NOT PUBLISH THIS ARTICLE UNTIL YOU RECEIVE CLIENT APPROVAL FROM THE PROJECT MANAGER. Let us know if you have any questions!                                           ",n/a,n/a,n/a,travel-experience-live.com,Natural - No exact match commercial - long tail preferred,http://www.ihg.com/destinations/us/en/united-arab-emirates/dubai-hotels,,Bram Reusen - $.11,
41871,IHG (IHG),CON134010 IHG April 16,ECapatides,Attention,41871 - Writer's Choice,"500 words: Please come up with your own unique topic and title for this piece. The topic should be local and specific to the city in the Target URL. Please do not come up with a topic that is timeboxed. Make sure you include the Target URL with a natural, no exact match commercial, long tail preferred, anchor text. Please READ THE ENTIRE STYLE GUIDE before writing the article. PLEASE DO NOT PUBLISH THIS ARTICLE UNTIL YOU RECEIVE CLIENT APPROVAL FROM THE PROJECT MANAGER. Let us know if you have any questions!                                           ",n/a,n/a,n/a,52perfectdays.com,Natural - No exact match commercial - long tail preferred,http://www.ihg.com/destinations/us/en/united-states/colorado/denver-hotels,,Tyjuana Wilson - $.10,
41872,IHG (IHG),CON134010 IHG April 16,ECapatides,Attention,41872 - Writer's Choice,"500 words: Please come up with your own unique topic and title for this piece. The topic should be local and specific to the city in the Target URL. Please do not come up with a topic that is timeboxed. Make sure you include the Target URL with a natural, no exact match commercial, long tail preferred, anchor text. Please READ THE ENTIRE STYLE GUIDE before writing the article. PLEASE DO NOT PUBLISH THIS ARTICLE UNTIL YOU RECEIVE CLIENT APPROVAL FROM THE PROJECT MANAGER. Let us know if you have any questions!                                           ",n/a,n/a,n/a,thewanderinggourmand.com,Natural - No exact match commercial - long tail preferred,http://www.ihg.com/destinations/us/en/united-states/colorado/denver-hotels,,Bryan Richards - $.11,
41873,IHG (IHG),CON134010 IHG April 16,ECapatides,Attention,41873 - Writer's Choice,"500 words: Please come up with your own unique topic and title for this piece. The topic should be local and specific to the city in the Target URL. Please do not come up with a topic that is timeboxed. Make sure you include the Target URL with a natural, no exact match commercial, long tail preferred, anchor text. Please READ THE ENTIRE STYLE GUIDE before writing the article. PLEASE DO NOT PUBLISH THIS ARTICLE UNTIL YOU RECEIVE CLIENT APPROVAL FROM THE PROJECT MANAGER. Let us know if you have any questions!                                           ",n/a,n/a,n/a,thislifeintrips.com,Natural - No exact match commercial - long tail preferred,http://www.ihg.com/destinations/us/en/united-states/colorado/denver-hotels,,Shaun Robertson - $.12,
