Task ID,Client,Campaign,Channel,Tier: Order,Title,Direction,Resource Link 1,Resource Link 2,Resource Link 3,Desired Placement,Anchor Text,Target URL,Website Example,Client Comment,Extra Writer Notes
41049,KennyEquate (Equate Media),MIX411001 Review-Weekly April 16,lcolarado1,Budget,41049 - IG Intro- Dating Profile- 41049,"This assignment is for an introduction to an infographic. In the link provided you will find both the IG and an already written introduction. Your directions are to make that pre-written introduction into a 200-300 word unique intro for the IG. You can use what is already written as a reference to write your own, or you can revise/re-word the pre-written intro to be unique (it must be unique). The intro you are writing must naturally include the AT and URL provided. ",https://www.review-weekly.com/blog/how-to-optimize-your-dating-profile-infographic/,n/a,n/a,bellenews.com,Natural,https://www.review-weekly.com/blog/how-to-optimize-your-dating-profile-infographic/,,,
41050,KennyEquate (Equate Media),MIX411001 Review-Weekly April 16,lcolarado1,Budget,41050 - IG Intro- Dating Profile- 41050,"This assignment is for an introduction to an infographic. In the link provided you will find both the IG and an already written introduction. Your directions are to make that pre-written introduction into a 200-300 word unique intro for the IG. You can use what is already written as a reference to write your own, or you can revise/re-word the pre-written intro to be unique (it must be unique). The intro you are writing must naturally include the AT and URL provided.",https://www.review-weekly.com/blog/how-to-optimize-your-dating-profile-infographic/,n/a,n/a,patch.com,Natural,https://www.review-weekly.com/blog/how-to-optimize-your-dating-profile-infographic/,,,
41051,KennyEquate (Equate Media),MIX411001 Review-Weekly April 16,lcolarado1,Budget,41051 - IG Intro- Dating Profile- 41051,"This assignment is for an introduction to an infographic. In the link provided you will find both the IG and an already written introduction. Your directions are to make that pre-written introduction into a 200-300 word unique intro for the IG. You can use what is already written as a reference to write your own, or you can revise/re-word the pre-written intro to be unique (it must be unique). The intro you are writing must naturally include the AT and URL provided.",https://www.review-weekly.com/blog/how-to-optimize-your-dating-profile-infographic/,n/a,n/a,allwomenstalk.com,Natural,https://www.review-weekly.com/blog/how-to-optimize-your-dating-profile-infographic/,,,
41052,KennyEquate (Equate Media),MIX411001 Review-Weekly April 16,lcolarado1,Budget,41052 - IG Intro- Dating Profile- 41052,"This assignment is for an introduction to an infographic. In the link provided you will find both the IG and an already written introduction. Your directions are to make that pre-written introduction into a 200-300 word unique intro for the IG. You can use what is already written as a reference to write your own, or you can revise/re-word the pre-written intro to be unique (it must be unique). The intro you are writing must naturally include the AT and URL provided.",https://www.review-weekly.com/blog/how-to-optimize-your-dating-profile-infographic/,n/a,n/a,iloverelationship.com,Natural,https://www.review-weekly.com/blog/how-to-optimize-your-dating-profile-infographic/,,,
41054,KennyEquate (Equate Media),MIX411001 Review-Weekly April 16,lcolarado1,Budget,41054 - IG Intro- Dating Profile- 41054,"This assignment is for an introduction to an infographic. In the link provided you will find both the IG and an already written introduction. Your directions are to make that pre-written introduction into a 200-300 word unique intro for the IG. You can use what is already written as a reference to write your own, or you can revise/re-word the pre-written intro to be unique (it must be unique). The intro you are writing must naturally include the AT and URL provided.","	https://www.review-weekly.com/blog/how-to-optimize-your-dating-profile-infographic/",n/a,n/a,chicdarling.com,Natural,https://www.review-weekly.com/blog/how-to-optimize-your-dating-profile-infographic/,,,
41055,KennyEquate (Equate Media),MIX411001 Review-Weekly April 16,lcolarado1,Budget,41055 - IG Intro- Dating Profile- 41055,"This assignment is for an introduction to an infographic. In the link provided you will find both the IG and an already written introduction. Your directions are to make that pre-written introduction into a 200-300 word unique intro for the IG. You can use what is already written as a reference to write your own, or you can revise/re-word the pre-written intro to be unique (it must be unique). The intro you are writing must naturally include the AT and URL provided.",https://www.review-weekly.com/blog/how-to-optimize-your-dating-profile-infographic/,n/a,n/a,ohmyheartsiegirl.com,Natural,https://www.review-weekly.com/blog/how-to-optimize-your-dating-profile-infographic/,,,
41056,KennyEquate (Equate Media),MIX411001 Review-Weekly April 16,lcolarado1,Budget,41056 - IG Intro- Dating Profile- 41056,"This assignment is for an introduction to an infographic. In the link provided you will find both the IG and an already written introduction. Your directions are to make that pre-written introduction into a 200-300 word unique intro for the IG. You can use what is already written as a reference to write your own, or you can revise/re-word the pre-written intro to be unique (it must be unique). The intro you are writing must naturally include the AT and URL provided.",https://www.review-weekly.com/blog/how-to-optimize-your-dating-profile-infographic/,n/a,n/a,iliveup.com,Natural,https://www.review-weekly.com/blog/how-to-optimize-your-dating-profile-infographic/,,,
41058,KennyEquate (Equate Media),MIX411001 Review-Weekly April 16,lcolarado1,Budget,41058 - IG Intro- Dating Profile- 41058,"This assignment is for an introduction to an infographic. In the link provided you will find both the IG and an already written introduction. Your directions are to make that pre-written introduction into a 200-300 word unique intro for the IG. You can use what is already written as a reference to write your own, or you can revise/re-word the pre-written intro to be unique (it must be unique). The intro you are writing must naturally include the AT and URL provided.",https://www.review-weekly.com/blog/how-to-optimize-your-dating-profile-infographic/,n/a,n/a,yourlifeafter25.com,Natural,https://www.review-weekly.com/blog/how-to-optimize-your-dating-profile-infographic/,,,
41060,KennyEquate (Equate Media),MIX411001 Review-Weekly April 16,lcolarado1,Budget,41060 - IG Intro- Dating Profile- 41060,"This assignment is for an introduction to an infographic. In the link provided you will find both the IG and an already written introduction. Your directions are to make that pre-written introduction into a 200-300 word unique intro for the IG. You can use what is already written as a reference to write your own, or you can revise/re-word the pre-written intro to be unique (it must be unique). The intro you are writing must naturally include the AT and URL provided.",https://www.review-weekly.com/blog/how-to-optimize-your-dating-profile-infographic/,n/a,n/a,topdreamer.com,Natural,https://www.review-weekly.com/blog/how-to-optimize-your-dating-profile-infographic/,,,
41061,KennyEquate (Equate Media),MIX411001 Review-Weekly April 16,lcolarado1,Budget,41061 - IG Intro- Dating Profile- 41061,"This assignment is for an introduction to an infographic. In the link provided you will find both the IG and an already written introduction. Your directions are to make that pre-written introduction into a 200-300 word unique intro for the IG. You can use what is already written as a reference to write your own, or you can revise/re-word the pre-written intro to be unique (it must be unique). The intro you are writing must naturally include the AT and URL provided.",https://www.review-weekly.com/blog/how-to-optimize-your-dating-profile-infographic/,n/a,n/a,evelynparham.com,Natural,https://www.review-weekly.com/blog/how-to-optimize-your-dating-profile-infographic/,,,
41062,KennyEquate (Equate Media),MIX411001 Review-Weekly April 16,lcolarado1,Budget,41062 - IG Intro- Dating Profile- 41062,"This assignment is for an introduction to an infographic. In the link provided you will find both the IG and an already written introduction. Your directions are to make that pre-written introduction into a 200-300 word unique intro for the IG. You can use what is already written as a reference to write your own, or you can revise/re-word the pre-written intro to be unique (it must be unique). The intro you are writing must naturally include the AT and URL provided.",https://www.review-weekly.com/blog/how-to-optimize-your-dating-profile-infographic/,n/a,n/a,livingbetter50.com,Natural,https://www.review-weekly.com/blog/how-to-optimize-your-dating-profile-infographic/,,,
41063,KennyEquate (Equate Media),MIX411001 Review-Weekly April 16,lcolarado1,Budget,41063 - IG Intro- Dating Profile- 41063,"This assignment is for an introduction to an infographic. In the link provided you will find both the IG and an already written introduction. Your directions are to make that pre-written introduction into a 200-300 word unique intro for the IG. You can use what is already written as a reference to write your own, or you can revise/re-word the pre-written intro to be unique (it must be unique). The intro you are writing must naturally include the AT and URL provided.",https://www.review-weekly.com/blog/how-to-optimize-your-dating-profile-infographic/,n/a,n/a,seriously-maybe.com,Natural,https://www.review-weekly.com/blog/how-to-optimize-your-dating-profile-infographic/,,,
41064,KennyEquate (Equate Media),MIX411001 Review-Weekly April 16,lcolarado1,Budget,41064 - IG Intro- Dating Profile- 41064,"This assignment is for an introduction to an infographic. In the link provided you will find both the IG and an already written introduction. Your directions are to make that pre-written introduction into a 200-300 word unique intro for the IG. You can use what is already written as a reference to write your own, or you can revise/re-word the pre-written intro to be unique (it must be unique). The intro you are writing must naturally include the AT and URL provided.",https://www.review-weekly.com/blog/how-to-optimize-your-dating-profile-infographic/,n/a,n/a,pslovecharli.com,Natural,https://www.review-weekly.com/blog/how-to-optimize-your-dating-profile-infographic/,,,
41065,KennyEquate (Equate Media),MIX411001 Review-Weekly April 16,lcolarado1,Budget,41065 - IG Intro- Dating Profile- 41065,"This assignment is for an introduction to an infographic. In the link provided you will find both the IG and an already written introduction. Your directions are to make that pre-written introduction into a 200-300 word unique intro for the IG. You can use what is already written as a reference to write your own, or you can revise/re-word the pre-written intro to be unique (it must be unique). The intro you are writing must naturally include the AT and URL provided.",https://www.review-weekly.com/blog/how-to-optimize-your-dating-profile-infographic/,n/a,n/a,thesexysinglemommy.net,Natural,https://www.review-weekly.com/blog/how-to-optimize-your-dating-profile-infographic/,,,
41066,KennyEquate (Equate Media),MIX411001 Review-Weekly April 16,lcolarado1,Budget,41066 - IG Intro- Dating Profile- 41066,"This assignment is for an introduction to an infographic. In the link provided you will find both the IG and an already written introduction. Your directions are to make that pre-written introduction into a 200-300 word unique intro for the IG. You can use what is already written as a reference to write your own, or you can revise/re-word the pre-written intro to be unique (it must be unique). The intro you are writing must naturally include the AT and URL provided.",https://www.review-weekly.com/blog/how-to-optimize-your-dating-profile-infographic/,n/a,n/a,dudeliving.com,Natural,https://www.review-weekly.com/blog/how-to-optimize-your-dating-profile-infographic/,,,
41067,KennyEquate (Equate Media),MIX411001 Review-Weekly April 16,lcolarado1,Budget,41067 - IG Intro- Dating Profile- 41067,"This assignment is for an introduction to an infographic. In the link provided you will find both the IG and an already written introduction. Your directions are to make that pre-written introduction into a 200-300 word unique intro for the IG. You can use what is already written as a reference to write your own, or you can revise/re-word the pre-written intro to be unique (it must be unique). The intro you are writing must naturally include the AT and URL provided.",https://www.review-weekly.com/blog/how-to-optimize-your-dating-profile-infographic/,n/a,n/a,urbasm.com,Natural,https://www.review-weekly.com/blog/how-to-optimize-your-dating-profile-infographic/,,,
41068,KennyEquate (Equate Media),MIX411001 Review-Weekly April 16,lcolarado1,Budget,41068 - IG Intro- Dating Profile- 41068,"This assignment is for an introduction to an infographic. In the link provided you will find both the IG and an already written introduction. Your directions are to make that pre-written introduction into a 200-300 word unique intro for the IG. You can use what is already written as a reference to write your own, or you can revise/re-word the pre-written intro to be unique (it must be unique). The intro you are writing must naturally include the AT and URL provided.",https://www.review-weekly.com/blog/how-to-optimize-your-dating-profile-infographic/,n/a,n/a,madmikesamerica.com,Natural,https://www.review-weekly.com/blog/how-to-optimize-your-dating-profile-infographic/,,,
