Task ID,Client,Campaign,Channel,Tier: Order,Title,Direction,Resource Link 1,Resource Link 2,Resource Link 3,Desired Placement,Anchor Text,Target URL,Website Example,Client Comment,Extra Writer Notes
41003,covario (iProspect),CON114011 Amway April 16,lcolarado1,Traffic,41003 - ,,,,,lifeadvancer.com,Branded variation,https://www.youtube.com/user/AmwayUS/,,,
41004,covario (iProspect),CON114011 Amway April 16,lcolarado1,Traffic,41004 - ,,,,,womantribune.com,Branded variation,https://www.youtube.com/user/AmwayUS/,,,
41005,covario (iProspect),CON114011 Amway April 16,lcolarado1,Traffic,41005 - ,,,,,scrapality.com,Branded variation,https://www.youtube.com/user/AmwayUS/,,,
41006,covario (iProspect),CON114011 Amway April 16,lcolarado1,Traffic,41006 - ,,,,,noordinaryhomestead.com,Branded variation,https://www.youtube.com/user/AmwayUS/,,,
41007,covario (iProspect),CON114011 Amway April 16,lcolarado1,Traffic,41007 - ,,,,,male-mode.com,Branded variation,http://www.amwayconnections.com/,,,
41008,covario (iProspect),CON114011 Amway April 16,lcolarado1,Traffic,41008 - ,,,,,topdreamer.com,Branded variation,http://www.amwayconnections.com/,,,
41009,covario (iProspect),CON114011 Amway April 16,lcolarado1,Traffic,41009 - ,,,,,unfinishedman.com,Branded variation,https://www.facebook.com/AmwayUS/,,,
41010,covario (iProspect),CON114011 Amway April 16,lcolarado1,Traffic,41010 - ,,,,,iliveup.com,Branded variation,https://www.facebook.com/AmwayUS/,,,
41011,covario (iProspect),CON114011 Amway April 16,lcolarado1,Traffic,41011 - ,,,,,yourlifeafter25.com,Branded variation,https://twitter.com/amway,,,
41012,covario (iProspect),CON114011 Amway April 16,lcolarado1,Traffic,41012 - ,,,,,medyatonya.com,Branded variation,https://www.linkedin.com/company/amway,,,
41013,covario (iProspect),CON114011 Amway April 16,lcolarado1,Traffic,41013 - ,,,,,littleyayas.com,Branded variation,http://www.amwayconnections.com/category/make-up-cosmetics/,,,
41015,covario (iProspect),CON114011 Amway April 16,lcolarado1,Traffic,41015 - ,,,,,healthywomen.org,Branded variation,http://www.amwayconnections.com/category/haircare/,,,
41139,covario (iProspect),CON114011 Amway May 16,lcolarado1,Traffic,41139 - ,,,,,blessedbeyondwords.com,Branded variation,https://twitter.com/amway,,,
41140,covario (iProspect),CON114011 Amway May 16,lcolarado1,Traffic,41140 - ,,,,,wonderslist.com,Branded variation,https://www.linkedin.com/company/amway,,,
