Task ID,Client,Campaign,Channel,Tier: Order,Title,Direction,Resource Link 1,Resource Link 2,Resource Link 3,Desired Placement,Anchor Text,Target URL,Website Example,Client Comment,Extra Writer Notes
41134,covario (iProspect),CON114011 Amway May 16,lcolarado1,Traffic,41134 - ,,,,,eternaldiaries.com,Branded variation,https://www.youtube.com/user/AmwayUS/,,,
41135,covario (iProspect),CON114011 Amway May 16,lcolarado1,Traffic,41135 - ,,,,,wearethecity.com,Branded variation,http://www.forbes.com/companies/amway/,,,
41136,covario (iProspect),CON114011 Amway May 16,lcolarado1,Traffic,41136 - ,,,,,nzmuse.com,Branded variation,http://www.amwayconnections.com/,,,
41137,covario (iProspect),CON114011 Amway May 16,lcolarado1,Traffic,41137 - ,,,,,tracysnewyorklife.com,Branded variation,https://www.facebook.com/AmwayUS/,,,
41138,covario (iProspect),CON114011 Amway May 16,lcolarado1,Traffic,41138 - ,,,,,fashionfresta.com,Branded variation,https://twitter.com/amway,,,
41141,covario (iProspect),CON114011 Amway May 16,lcolarado1,Traffic,41141 - ,,,,,talesofarantingginger.com,Branded variation,https://www.linkedin.com/company/amway,,,
41142,covario (iProspect),CON114011 Amway May 16,lcolarado1,Traffic,41142 - ,,,,,twoclassychics.com,Branded variation,http://www.amwayconnections.com/category/make-up-cosmetics/,,,
41143,covario (iProspect),CON114011 Amway May 16,lcolarado1,Traffic,41143 - ,,,,,theantijunecleaver.com,Branded variation,http://www.amwayconnections.com/category/make-up-cosmetics/,,,
41144,covario (iProspect),CON114011 Amway May 16,lcolarado1,Traffic,41144 - ,,,,,girlyblogger.com,Branded variation,http://www.amwayconnections.com/category/skin-care/,,,
41145,covario (iProspect),CON114011 Amway May 16,lcolarado1,Traffic,41145 - ,,,,,ritareviews.net,Branded variation,http://www.amwayconnections.com/category/skin-care/,,,
41146,covario (iProspect),CON114011 Amway May 16,lcolarado1,Traffic,41146 - ,,,,,mrswrightwrites.com,Branded variation,http://www.amwayconnections.com/category/haircare/,,,
41147,covario (iProspect),CON114011 Amway May 16,lcolarado1,Traffic,41147 - ,,,,,shibleysmiles.com,Branded variation,http://www.amwayconnections.com/category/haircare/,,,
41014,covario (iProspect),CON114011 Amway April 16,lcolarado1,Traffic,41014 - ,,,,,makingtheworldcuter.com,Branded variation,http://www.amwayconnections.com/category/skin-care/,,,
