Task ID,Client,Campaign,Channel,Tier: Order,Title,Direction,Resource Link 1,Resource Link 2,Resource Link 3,Desired Placement,Anchor Text,Target URL,Website Example,Client Comment,Extra Writer Notes
41839,SkyhighNetworks (Skyhigh Networks),CON386002 SkyHigh Networks May 16,lcolarado1,Attention,41839 - ,,,,,toptrix.net,natural/writer&#039;s choice,https://www.skyhighnetworks.com/cloud-security-university/,,,
41840,SkyhighNetworks (Skyhigh Networks),CON386002 SkyHigh Networks May 16,lcolarado1,Attention,41840 - ,,,,,techgeeze.com,natural/writer&#039;s choice,https://www.skyhighnetworks.com/cloud-security-university/,,,
41841,SkyhighNetworks (Skyhigh Networks),CON386002 SkyHigh Networks May 16,lcolarado1,Attention,41841 - ,,,,,comparecaffeine.com,natural/writer&#039;s choice,https://www.skyhighnetworks.com/cloud-security-university/,,,
41842,SkyhighNetworks (Skyhigh Networks),CON386002 SkyHigh Networks May 16,lcolarado1,Attention,41842 - ,,,,,3ptechies.com,natural/writer&#039;s choice,https://www.skyhighnetworks.com/cloud-security-university/,,,
41843,SkyhighNetworks (Skyhigh Networks),CON386002 SkyHigh Networks May 16,lcolarado1,Attention,41843 - ,,,,,datanami.com,natural/writer&#039;s choice,https://www.skyhighnetworks.com/cloud-security-university/,,,
41844,SkyhighNetworks (Skyhigh Networks),CON386002 SkyHigh Networks May 16,lcolarado1,Attention,41844 - ,,,,,feedster.com,natural/writer&#039;s choice,https://www.skyhighnetworks.com/cloud-security-university/,,,
41845,SkyhighNetworks (Skyhigh Networks),CON386002 SkyHigh Networks May 16,lcolarado1,Attention,41845 - ,,,,,valuewalk.com,natural/writer&#039;s choice,https://www.skyhighnetworks.com/cloud-security-university/,,,
41846,SkyhighNetworks (Skyhigh Networks),CON386002 SkyHigh Networks May 16,lcolarado1,Attention,41846 - ,,,,,startupnation.com,natural/writer&#039;s choice,https://www.skyhighnetworks.com/cloud-security-university/,,,
41847,SkyhighNetworks (Skyhigh Networks),CON386002 SkyHigh Networks May 16,lcolarado1,Attention,41847 - ,,,,,rswebsols.com,natural/writer&#039;s choice,https://www.skyhighnetworks.com/cloud-security-university/,,,
41848,SkyhighNetworks (Skyhigh Networks),CON386002 SkyHigh Networks May 16,lcolarado1,Attention,41848 - ,,,,,smarttechtoday.com,natural/writer&#039;s choice,https://www.skyhighnetworks.com/cloud-security-university/,,,
41849,SkyhighNetworks (Skyhigh Networks),CON386002 SkyHigh Networks May 16,lcolarado1,Attention,41849 - ,,,,,adtechdaily.com,natural/writer&#039;s choice,https://www.skyhighnetworks.com/cloud-security-university/,,,
41850,SkyhighNetworks (Skyhigh Networks),CON386002 SkyHigh Networks May 16,lcolarado1,Attention,41850 - ,,,,,socialnomics.com,natural/writer&#039;s choice,https://www.skyhighnetworks.com/cloud-security-university/,,,
41851,SkyhighNetworks (Skyhigh Networks),CON386002 SkyHigh Networks May 16,lcolarado1,Attention,41851 - ,,,,,savedelete.com,natural/writer&#039;s choice,https://www.skyhighnetworks.com/cloud-security-university/,,,
41852,SkyhighNetworks (Skyhigh Networks),CON386002 SkyHigh Networks May 16,lcolarado1,Attention,41852 - ,,,,,techieride.com,natural/writer&#039;s choice,https://www.skyhighnetworks.com/cloud-security-university/,,,
41853,SkyhighNetworks (Skyhigh Networks),CON386002 SkyHigh Networks May 16,lcolarado1,Attention,41853 - ,,,,,stunningmesh.com,natural/writer&#039;s choice,https://www.skyhighnetworks.com/cloud-security-university/,,,
