Task ID,Client,Campaign,Channel,Tier: Order,Title,Direction,Resource Link 1,Resource Link 2,Resource Link 3,Desired Placement,Anchor Text,Target URL,Website Example,Client Comment,Extra Writer Notes
40960,Mediagistic (Mediagistic),CON255006 HVAC April 16,Damarley,Budget,40960 - IG Intro- HVAC- 40960,"This assignment is for an introduction to an infographic. In the link provided you will find both the IG and an already written introduction. Your directions are to make that pre-written introduction into a 200-300 word unique intro for the IG. You can use what is already written as a reference to write your own, or you can revise/re-word the pre-written intro to be unique (it must be unique). The intro you are writing must naturally include the AT and URL provided.  Do not make subheads. This is an introduction. 
",http://www.integrityair.com/blog/infographic-hvac-tips-new-home-buyers,n/a,n/a,homefamilyheart.com,Integrity Comfort Solutions,http://www.integrityair.com/blog/infographic-hvac-tips-new-home-buyers,,,
40961,Mediagistic (Mediagistic),CON255006 HVAC April 16,lcolarado1,Budget,40961 - IG Intro- HVAC Internal- 40961,"This assignment is for an introduction to an infographic. In the dropbox link provided you will find both the IG and an already written introduction. Your directions are to make that pre-written introduction into a 200-300 word unique intro for the IG. You can use what is already written as a reference to write your own, or you can revise/re-word the pre-written intro to be unique (it must be unique). The intro you are writing must naturally include the AT and URL provided.  Do not make subheads. This is an introduction. 
",https://www.dropbox.com/sh/bqnu6h7fl42jpa5/AAAINdNR3b9s_bW2qv6j0LXna?dl=0,n/a,n/a,homebuilder-implode.com,One Source Heating and Cooling,http://www.onesourceair.com/,,,
40962,Mediagistic (Mediagistic),CON255006 HVAC April 16,Damarley,Budget,40962 - IG Intro- HVAC Internal- 40962,"This assignment is for an introduction to an infographic. In the dropbox link provided you will find both the IG and an already written introduction. Your directions are to make that pre-written introduction into a 200-300 word unique intro for the IG. You can use what is already written as a reference to write your own, or you can revise/re-word the pre-written intro to be unique (it must be unique). The intro you are writing must naturally include the AT and URL provided.  Do not make subheads. This is an introduction. ",https://www.dropbox.com/sh/bqnu6h7fl42jpa5/AAAINdNR3b9s_bW2qv6j0LXna?dl=0,n/a,n/a,atarimdesign.com,Sullivan Oil and Propane,http://sullivanoilandpropane.com/,,,
40963,Mediagistic (Mediagistic),CON255006 HVAC April 16,Damarley,Budget,40963 - IG Intro- HVAC- 40963,"This assignment is for an introduction to an infographic. In the link provided you will find both the IG and an already written introduction. Your directions are to make that pre-written introduction into a 200-300 word unique intro for the IG. You can use what is already written as a reference to write your own, or you can revise/re-word the pre-written intro to be unique (it must be unique). The intro you are writing must naturally include the AT and URL provided.  Do not make subheads. This is an introduction. 
",http://airconditioningsoutheast.com/blog/2014/07/whats-in-the-air-you-breathe,n/a,n/a,atarimdesign.com,Mingledorff&#039;s Locator - ACSE,http://airconditioningsoutheast.com/blog/2014/07/whats-in-the-air-you-breathe,,,
40964,Mediagistic (Mediagistic),CON255006 HVAC April 16,Damarley,Budget,40964 - IG Intro- HVAC- 40964,"This assignment is for an introduction to an infographic. In the dropbox link provided you will find both the IG and an already written introduction. Your directions are to make that pre-written introduction into a 200-300 word unique intro for the IG. You can use what is already written as a reference to write your own, or you can revise/re-word the pre-written intro to be unique (it must be unique). The intro you are writing must naturally include the AT and URL provided.  Do not make subheads. This is an introduction. 
",http://www.aquaplumbingsarasota.com/blog/essential-guide-home-plumbing-problems-infographic,n/a,n/a,atarimdesign.com,Aqua,http://www.aquaplumbingsarasota.com/blog/essential-guide-home-plumbing-problems-infographic,,,
40992,Mediagistic (Mediagistic),CON255006 HVAC April 16,lcolarado1,Budget,40992 - IG Intro- HVAC- 40992,"This assignment is for an introduction to an infographic. In the link provided you will find both the IG and an already written introduction. Your directions are to make that pre-written introduction into a 200-300 word unique intro for the IG. You can use what is already written as a reference to write your own, or you can revise/re-word the pre-written intro to be unique (it must be unique). The intro you are writing must naturally include the AT and URL provided.  Do not make subheads. This is an introduction. 
",http://www.integrityair.com/blog/infographic-hvac-tips-new-home-buyers,n/a,n/a,georyl.com,Integrity Comfort Solutions,http://www.integrityair.com/blog/infographic-hvac-tips-new-home-buyers,,,
40993,Mediagistic (Mediagistic),CON255006 HVAC April 16,Damarley,Budget,40993 - IG Intro- HVAC Internal- 40993,"This assignment is for an introduction to an infographic. In the dropbox link provided you will find both the IG and an already written introduction. Your directions are to make that pre-written introduction into a 200-300 word unique intro for the IG. You can use what is already written as a reference to write your own, or you can revise/re-word the pre-written intro to be unique (it must be unique). The intro you are writing must naturally include the AT and URL provided.  Do not make subheads. This is an introduction. 
",https://www.dropbox.com/sh/bqnu6h7fl42jpa5/AAAINdNR3b9s_bW2qv6j0LXna?dl=0,n/a,n/a,homefamilyheart.com,Integrity Comfort Solutions,http://www.onesourceair.com/,,,
40994,Mediagistic (Mediagistic),CON255006 HVAC April 16,lcolarado1,Budget,40994 - IG Intro- HVAC Internal- 40994,"This assignment is for an introduction to an infographic. In the dropbox link provided you will find both the IG and an already written introduction. Your directions are to make that pre-written introduction into a 200-300 word unique intro for the IG. You can use what is already written as a reference to write your own, or you can revise/re-word the pre-written intro to be unique (it must be unique). The intro you are writing must naturally include the AT and URL provided.  Do not make subheads. This is an introduction. 
",https://www.dropbox.com/sh/bqnu6h7fl42jpa5/AAAINdNR3b9s_bW2qv6j0LXna?dl=0,n/a,n/a,energycentral.com,One Source Heating and Cooling,http://sullivanoilandpropane.com/,,,
40995,Mediagistic (Mediagistic),CON255006 HVAC April 16,lcolarado1,Budget,40995 - IG Intro- HVAC- 40995,"This assignment is for an introduction to an infographic. In the link provided you will find both the IG and an already written introduction. Your directions are to make that pre-written introduction into a 200-300 word unique intro for the IG. You can use what is already written as a reference to write your own, or you can revise/re-word the pre-written intro to be unique (it must be unique). The intro you are writing must naturally include the AT and URL provided.  Do not make subheads. This is an introduction. 
",http://airconditioningsoutheast.com/blog/2015/07/what-you-can-do-to-help-your-ac-keep-you-cool-this-summer,n/a,n/a,energycentral.com,Sullivan Oil and Propane,http://airconditioningsoutheast.com/blog/2015/07/what-you-can-do-to-help-your-ac-keep-you-cool-this-summer,,,
40996,Mediagistic (Mediagistic),CON255006 HVAC April 16,lcolarado1,Budget,40996 - IG Intro- HVAC- 40996,"This assignment is for an introduction to an infographic. In the link provided you will find both the IG and an already written introduction. Your directions are to make that pre-written introduction into a 200-300 word unique intro for the IG. You can use what is already written as a reference to write your own, or you can revise/re-word the pre-written intro to be unique (it must be unique). The intro you are writing must naturally include the AT and URL provided.  Do not make subheads. This is an introduction. 
",http://airconditioningsoutheast.com/blog/2015/10/maintaining-your-heat-pump-for-yearround-performance-infographic,n/a,n/a,energycentral.com,Mingledorff&#039;s Locator - ACSE,http://airconditioningsoutheast.com/blog/2015/10/maintaining-your-heat-pump-for-yearround-performance-infographic,,,
