Task ID,Client,Campaign,Channel,Tier: Order,Title,Direction,Resource Link 1,Resource Link 2,Resource Link 3,Desired Placement,Anchor Text,Target URL,Website Example,Client Comment,Extra Writer Notes
41768,CareerBuilder.com (CareerBuilder.com),MIX112001 Career Builder May 16,lcolarado1,Attention,41768 - ,,,,,everybodylovesyourmoney.com,natural,http://advice.careerbuilder.com/posts/so-you-want-to-be-an-accountant,,,
41769,CareerBuilder.com (CareerBuilder.com),MIX112001 Career Builder May 16,lcolarado1,Attention,41769 - ,,,,,madmikesamerica.com,natural,http://advice.careerbuilder.com/posts/is-customer-service-the-job-for-you,,,
41770,CareerBuilder.com (CareerBuilder.com),MIX112001 Career Builder May 16,lcolarado1,Attention,41770 - ,,,,,yourlifeafter25.com,natural,http://advice.careerbuilder.com/posts/should-you-become-a-pharmacist,,,
41854,CareerBuilder.com (CareerBuilder.com),MIX112001 Career Builder May 16,lcolarado1,Attention,41854 - ,,,,,cravingtech.com,Natural,http://advice.careerbuilder.com/posts/whats-it-like-being-an-it-director,,,
41855,CareerBuilder.com (CareerBuilder.com),MIX112001 Career Builder May 16,lcolarado1,Attention,41855 - ,,,,,thestartupmag.com,natural,http://advice.careerbuilder.com/posts/whats-it-like-being-a-marketing-manager,,,
41856,CareerBuilder.com (CareerBuilder.com),MIX112001 Career Builder May 16,lcolarado1,Attention,41856 - ,,,,,urbasm.com,natural,http://advice.careerbuilder.com/posts/so-you-want-to-be-an-automative-technician,,,
41857,CareerBuilder.com (CareerBuilder.com),MIX112001 Career Builder May 16,lcolarado1,Attention,41857 - ,,,,,medyatonya.com,natural,http://advice.careerbuilder.com/posts/so-you-want-to-be-a-security-guard,,,
41858,CareerBuilder.com (CareerBuilder.com),MIX112001 Career Builder May 16,lcolarado1,Attention,41858 - ,,,,,womantribune.com,natural,http://advice.careerbuilder.com/posts/thinking-about-becoming-a-retail-sales-associate,,,
41859,CareerBuilder.com (CareerBuilder.com),MIX112001 Career Builder May 16,lcolarado1,Attention,41859 - ,,,,,lifeadvancer.com,natural,In Writing - Registered Nurse,,,
41860,CareerBuilder.com (CareerBuilder.com),MIX112001 Career Builder May 16,lcolarado1,Attention,41860 - ,,,,,,natural,In Writing - Financial Analyst,,,
