Task ID,Client,Campaign,Channel,Tier: Order,Title,Direction,Resource Link 1,Resource Link 2,Resource Link 3,Desired Placement,Anchor Text,Target URL,Website Example,Client Comment,Extra Writer Notes
40075,IHG (IHG),CON134010 IHG Syndication Mar-May 16,ECapatides,Traffic,40075 - London IG Syndication,"This is a syndication campaign. You will be syndicating the infographic found in Field 3 below from the IHG Blog. Please make sure you include the link in the intro. It's hard to see, but the words ""picking the perfect London hotel"" are linked. Include all text and the infographic below it. Please publish once EDITOR APPROVED.  You do not have to wait for client approval for these. Then submit your published link through this form: https://docs.google.com/a/steelcast.com/forms/d/1ENawH0wnpPZEh-V68tMf7uX_hgi3Tbm_N1FLrH0I09A/edit?usp=sharing_eid&ts=573b71d0  If you have any questions let me know! Thank you!",http://blog.ihg.com/top-food-london-infographic,,,chronic-wanderlust.com,Natural,http://www.ihg.com/hotels/us/en/hd/united-kingdom/london-hotels,,,
40076,IHG (IHG),CON134010 IHG Syndication Mar-May 16,ECapatides,Traffic,40076 - London IG Syndication,"This is a syndication campaign. You will be syndicating the infographic found in Field 3 below from the IHG Blog. Please make sure you include the link in the intro. It's hard to see, but the words ""picking the perfect London hotel"" are linked. Include all text and the infographic below it. Please publish once EDITOR APPROVED.  You do not have to wait for client approval for these. Then submit your published link through this form: https://docs.google.com/a/steelcast.com/forms/d/1ENawH0wnpPZEh-V68tMf7uX_hgi3Tbm_N1FLrH0I09A/edit?usp=sharing_eid&ts=573b71d0  If you have any questions let me know! Thank you!",http://blog.ihg.com/top-food-london-infographic,,,globotreks.com,Natural,http://www.ihg.com/hotels/us/en/hd/united-kingdom/london-hotels,,,
40077,IHG (IHG),CON134010 IHG Syndication Mar-May 16,ECapatides,Traffic,40077 - London IG Syndication,"This is a syndication campaign. You will be syndicating the infographic found in Field 3 below from the IHG Blog. Please make sure you include the link in the intro. It's hard to see, but the words ""picking the perfect London hotel"" are linked. Include all text and the infographic below it. Please publish once EDITOR APPROVED.  You do not have to wait for client approval for these. Then submit your published link through this form: https://docs.google.com/a/steelcast.com/forms/d/1ENawH0wnpPZEh-V68tMf7uX_hgi3Tbm_N1FLrH0I09A/edit?usp=sharing_eid&ts=573b71d0  If you have any questions let me know! Thank you!",http://blog.ihg.com/top-food-london-infographic,,,montenegro.com,Natural,http://www.ihg.com/hotels/us/en/hd/united-kingdom/london-hotels,,,
40078,IHG (IHG),CON134010 IHG Syndication Mar-May 16,ECapatides,Traffic,40078 - London IG Syndication,"This is a syndication campaign. You will be syndicating the infographic found in Field 3 below from the IHG Blog. Please make sure you include the link in the intro. It's hard to see, but the words ""picking the perfect London hotel"" are linked. Include all text and the infographic below it. Please publish once EDITOR APPROVED.  You do not have to wait for client approval for these. Then submit your published link through this form: https://docs.google.com/a/steelcast.com/forms/d/1ENawH0wnpPZEh-V68tMf7uX_hgi3Tbm_N1FLrH0I09A/edit?usp=sharing_eid&ts=573b71d0  If you have any questions let me know! Thank you!",http://blog.ihg.com/top-food-london-infographic,,,abackpackerstale.com,Natural,http://www.ihg.com/hotels/us/en/hd/united-kingdom/london-hotels,,,
40079,IHG (IHG),CON134010 IHG Syndication Mar-May 16,ECapatides,Traffic,40079 - London IG Syndication,"This is a syndication campaign. You will be syndicating the infographic found in Field 3 below from the IHG Blog. Please make sure you include the link in the intro. It's hard to see, but the words ""picking the perfect London hotel"" are linked. Include all text and the infographic below it. Please publish once EDITOR APPROVED.  You do not have to wait for client approval for these. Then submit your published link through this form: https://docs.google.com/a/steelcast.com/forms/d/1ENawH0wnpPZEh-V68tMf7uX_hgi3Tbm_N1FLrH0I09A/edit?usp=sharing_eid&ts=573b71d0  If you have any questions let me know! Thank you!",http://blog.ihg.com/top-food-london-infographic,,,thecrowdedplanet.com,Natural,http://www.ihg.com/hotels/us/en/hd/united-kingdom/london-hotels,,,
40080,IHG (IHG),CON134010 IHG Syndication Mar-May 16,ECapatides,Traffic,40080 - London IG Syndication,"This is a syndication campaign. You will be syndicating the infographic found in Field 3 below from the IHG Blog. Please make sure you include the link in the intro. It's hard to see, but the words ""picking the perfect London hotel"" are linked. Include all text and the infographic below it. Please publish once EDITOR APPROVED.  You do not have to wait for client approval for these. Then submit your published link through this form: https://docs.google.com/a/steelcast.com/forms/d/1ENawH0wnpPZEh-V68tMf7uX_hgi3Tbm_N1FLrH0I09A/edit?usp=sharing_eid&ts=573b71d0  If you have any questions let me know! Thank you!",http://blog.ihg.com/top-food-london-infographic,,,diningtraveler.com,Natural,http://www.ihg.com/hotels/us/en/hd/united-kingdom/london-hotels,,,
40081,IHG (IHG),CON134010 IHG Syndication Mar-May 16,ECapatides,Traffic,40081 - London IG Syndication,"This is a syndication campaign. You will be syndicating the infographic found in Field 3 below from the IHG Blog. Please make sure you include the link in the intro. It's hard to see, but the words ""picking the perfect London hotel"" are linked. Include all text and the infographic below it. Please publish once EDITOR APPROVED.  You do not have to wait for client approval for these. Then submit your published link through this form: https://docs.google.com/a/steelcast.com/forms/d/1ENawH0wnpPZEh-V68tMf7uX_hgi3Tbm_N1FLrH0I09A/edit?usp=sharing_eid&ts=573b71d0  If you have any questions let me know! Thank you!",http://blog.ihg.com/top-food-london-infographic,,,justinpluslauren.com,Natural,http://www.ihg.com/hotels/us/en/hd/united-kingdom/london-hotels,,,
40082,IHG (IHG),CON134010 IHG Syndication Mar-May 16,ECapatides,Traffic,40082 - London IG Syndication,"This is a syndication campaign. You will be syndicating the infographic found in Field 3 below from the IHG Blog. Please make sure you include the link in the intro. It's hard to see, but the words ""picking the perfect London hotel"" are linked. Include all text and the infographic below it. Please publish once EDITOR APPROVED.  You do not have to wait for client approval for these. Then submit your published link through this form: https://docs.google.com/a/steelcast.com/forms/d/1ENawH0wnpPZEh-V68tMf7uX_hgi3Tbm_N1FLrH0I09A/edit?usp=sharing_eid&ts=573b71d0  If you have any questions let me know! Thank you!",http://blog.ihg.com/top-food-london-infographic,,,theholidaze.com,Natural,http://www.ihg.com/hotels/us/en/hd/united-kingdom/london-hotels,,,
40083,IHG (IHG),CON134010 IHG Syndication Mar-May 16,ECapatides,Traffic,40083 - London IG Syndication,"This is a syndication campaign. You will be syndicating the infographic found in Field 3 below from the IHG Blog. Please make sure you include the link in the intro. It's hard to see, but the words ""picking the perfect London hotel"" are linked. Include all text and the infographic below it. Please publish once EDITOR APPROVED.  You do not have to wait for client approval for these. Then submit your published link through this form: https://docs.google.com/a/steelcast.com/forms/d/1ENawH0wnpPZEh-V68tMf7uX_hgi3Tbm_N1FLrH0I09A/edit?usp=sharing_eid&ts=573b71d0  If you have any questions let me know! Thank you!",http://blog.ihg.com/top-food-london-infographic,,,dukestewartwrites.com,Natural,http://www.ihg.com/hotels/us/en/hd/united-kingdom/london-hotels,,,
40084,IHG (IHG),CON134010 IHG Syndication Mar-May 16,ECapatides,Traffic,40084 - London IG Syndication,"This is a syndication campaign. You will be syndicating the infographic found in Field 3 below from the IHG Blog. Please make sure you include the link in the intro. It's hard to see, but the words ""picking the perfect London hotel"" are linked. Include all text and the infographic below it. Please publish once EDITOR APPROVED.  You do not have to wait for client approval for these. Then submit your published link through this form: https://docs.google.com/a/steelcast.com/forms/d/1ENawH0wnpPZEh-V68tMf7uX_hgi3Tbm_N1FLrH0I09A/edit?usp=sharing_eid&ts=573b71d0  If you have any questions let me know! Thank you!",http://blog.ihg.com/top-food-london-infographic,,,nickisrandommusings.com,Natural,http://www.ihg.com/hotels/us/en/hd/united-kingdom/london-hotels,,,
