Task ID,Client,Campaign,Channel,Tier: Order,Title,Direction,Resource Link 1,Resource Link 2,Resource Link 3,Desired Placement,Anchor Text,Target URL,Website Example,Client Comment,Extra Writer Notes
40050,IHG (IHG),CON134010 IHG Syndication Mar-May 16,ECapatides,Traffic,40050 - Unique Places to View NYC's Skyline,Robbie Blair - Unique Places to View NYC&#039;s Skyline,Unique Places to View NYC&#039;s Skyline,Unique Places to View NYC&#039;s Skyline,Unique Places to View NYC&#039;s Skyline,robbieblair.com,Natural,http://www.ihg.com/hotels/us/en/hd/united-states/new-york/new-york-city-hotels,,,
40051,IHG (IHG),CON134010 IHG Syndication Mar-May 16,ECapatides,Traffic,40051 - Unique Places to View NYC's Skyline,Madisyn McKee $38.00 Unique Places to View NYC&#039;s Skyline,Unique Places to View NYC&#039;s Skyline,Unique Places to View NYC&#039;s Skyline,Unique Places to View NYC&#039;s Skyline,therestlessworker.com,Natural,http://www.ihg.com/hotels/us/en/hd/united-states/new-york/new-york-city-hotels,,,
40052,IHG (IHG),CON134010 IHG Syndication Mar-May 16,ECapatides,Traffic,40052 - Unique Places to View NYC's Skyline,Karon Warren Unique Places to View NYC&#039;s Skyline,Unique Places to View NYC&#039;s Skyline,Unique Places to View NYC&#039;s Skyline,Unique Places to View NYC&#039;s Skyline,thisgirltravels.com,Natural,http://www.ihg.com/hotels/us/en/hd/united-states/new-york/new-york-city-hotels,,,
40053,IHG (IHG),CON134010 IHG Syndication Mar-May 16,ECapatides,Traffic,40053 - Unique Places to View NYC's Skyline,Camille Poire - Unique Places to View NYC&#039;s Skyline,Unique Places to View NYC&#039;s Skyline,Unique Places to View NYC&#039;s Skyline,Unique Places to View NYC&#039;s Skyline,camilleinwonderlands.com,Natural,http://www.ihg.com/hotels/us/en/hd/united-states/new-york/new-york-city-hotels,,,
40054,IHG (IHG),CON134010 IHG Syndication Mar-May 16,ECapatides,Traffic,40054 - Unique Places to View NYC's Skyline,Derek Miller Unique Places to View NYC&#039;s Skyline,Unique Places to View NYC&#039;s Skyline,Unique Places to View NYC&#039;s Skyline,Unique Places to View NYC&#039;s Skyline,travelrmag.com,Natural,http://www.ihg.com/hotels/us/en/hd/united-states/new-york/new-york-city-hotels,,,
40055,IHG (IHG),CON134010 IHG Syndication Mar-May 16,ECapatides,Traffic,40055 - Unique Places to View NYC's Skyline,Unique Places to View NYC&#039;s Skyline Unique Places to View NYC&#039;s Skyline,Unique Places to View NYC&#039;s Skyline,Unique Places to View NYC&#039;s Skyline,Unique Places to View NYC&#039;s Skyline,jhanzey.net,Natural,http://www.ihg.com/hotels/us/en/hd/united-states/new-york/new-york-city-hotels,,,
40056,IHG (IHG),CON134010 IHG Syndication Mar-May 16,ECapatides,Traffic,40056 - Unique Places to View NYC's Skyline,Unique Places to View NYC&#039;s Skyline Unique Places to View NYC&#039;s Skyline,Unique Places to View NYC&#039;s Skyline,Unique Places to View NYC&#039;s Skyline,Unique Places to View NYC&#039;s Skyline,go4travelblog.com,Natural,http://www.ihg.com/hotels/us/en/hd/united-states/new-york/new-york-city-hotels,,,
40057,IHG (IHG),CON134010 IHG Syndication Mar-May 16,ECapatides,Traffic,40057 - Unique Places to View NYC's Skyline,Unique Places to View NYC&#039;s Skyline Unique Places to View NYC&#039;s Skyline,Unique Places to View NYC&#039;s Skyline,Unique Places to View NYC&#039;s Skyline,Unique Places to View NYC&#039;s Skyline,travellingslacker.com,Natural,http://www.ihg.com/hotels/us/en/hd/united-states/new-york/new-york-city-hotels,,,
40058,IHG (IHG),CON134010 IHG Syndication Mar-May 16,ECapatides,Traffic,40058 - Unique Places to View NYC's Skyline,Unique Places to View NYC&#039;s Skyline Unique Places to View NYC&#039;s Skyline,Unique Places to View NYC&#039;s Skyline,Unique Places to View NYC&#039;s Skyline,Unique Places to View NYC&#039;s Skyline,thewanderbug.com,Natural,http://www.ihg.com/hotels/us/en/hd/united-states/new-york/new-york-city-hotels,,,
40059,IHG (IHG),CON134010 IHG Syndication Mar-May 16,ECapatides,Traffic,40059 - Unique Places to View NYC's Skyline,Unique Places to View NYC&#039;s Skyline Unique Places to View NYC&#039;s Skyline,Unique Places to View NYC&#039;s Skyline,Unique Places to View NYC&#039;s Skyline,Unique Places to View NYC&#039;s Skyline,travelwithmarilyn.com,Natural,http://www.ihg.com/hotels/us/en/hd/united-states/new-york/new-york-city-hotels,,,
