Task ID,Client,Campaign,Channel,Tier: Order,Title,Direction,Resource Link 1,Resource Link 2,Resource Link 3,Desired Placement,Anchor Text,Target URL,Website Example,Client Comment,Extra Writer Notes
42004,Kabelio (Kabel IO),High Risk Pay May 16,lcolarado1,,42004 - ,,,,,examiner.com,high risk merchant account,https://www.highriskpay.com/high-risk-merchant-services/,,,
42005,Kabelio (Kabel IO),High Risk Pay May 16,lcolarado1,,42005 - ,,,,,triplepundit.com,high risk credit card processing,https://www.highriskpay.com/high-risk-merchant-services/,,,
42006,Kabelio (Kabel IO),High Risk Pay May 16,lcolarado1,,42006 - ,,,,,makingsenseofcents.com,high risk merchant services,https://www.highriskpay.com/high-risk-merchant-services/,,,
42007,Kabelio (Kabel IO),High Risk Pay May 16,lcolarado1,,42007 - ,,,,,projecteve.com,high risk merchant accounts,https://www.highriskpay.com/high-risk-merchant-services/,,,
42008,Kabelio (Kabel IO),High Risk Pay May 16,lcolarado1,,42008 - ,,,,,dinksfinance.com,high risk merchant account providers,https://www.highriskpay.com/high-risk-merchant-services/,,,
42009,Kabelio (Kabel IO),High Risk Pay June 16,lcolarado1,,42009 - ,,,,,mscareergirl.com,high risk credit card processors,https://www.highriskpay.com/high-risk-merchant-services/,,,
42010,Kabelio (Kabel IO),High Risk Pay June 16,lcolarado1,,42010 - ,,,,,businessfirstfamily.com,high risk merchant,https://www.highriskpay.com/high-risk-merchant-services/,,,
42011,Kabelio (Kabel IO),High Risk Pay June 16,lcolarado1,,42011 - ,,,,,seedebtrun.com,high risk merchants,https://www.highriskpay.com/high-risk-merchant-services/,,,
42012,Kabelio (Kabel IO),High Risk Pay June 16,lcolarado1,,42012 - ,,,,,yourpfpro.com,bad credit merchant account,https://www.highriskpay.com/bad-credit-merchant-accounts/,,,
42013,Kabelio (Kabel IO),High Risk Pay June 16,lcolarado1,,42013 - ,,,,,thousandaire.com,credit card processing with bad credit,https://www.highriskpay.com/bad-credit-merchant-accounts/,,,
