Task ID,Client,Campaign,Channel,Tier: Order,Title,Direction,Resource Link 1,Resource Link 2,Resource Link 3,Desired Placement,Anchor Text,Target URL,Website Example,Client Comment,Extra Writer Notes
42502,SkyhighNetworks (Skyhigh Networks),CON386002 SkyHigh Networks June 16,lcolarado1,Attention,42502 -  # Reasons You Need to Have an Ecommerce Store by 2017,"500 words. List 3-6 reasons businesses should offer their products or services online by 2017. For example, it&#039;s easy to work with ecomm apps, online orders boost revenue, and many businesses (like Taco Bell and Starbucks) already do it. Your target audience is small brick and mortar businesses that only use their sites for information. For example, hair salons can take online appointments and bakeries can take online orders. For the link, mention that customer data is more secure than ever, and with the right employee training and cloud security system, you don&#039;t have to worry about a data breach. ",http://ecommerce-platforms.com/articles/7-best-free-wordpress-ecommerce-plug-ins,https://consumerist.com/2015/09/28/taco-bell-rolls-out-new-website-for-online-ordering-without-the-app/,http://boss.blogs.nytimes.com/2014/08/26/a-brick-and-mortar-retailers-guide-to-e-commerce/ ,diymarketers.com,natural/writer&#039;s choice,https://www.skyhighnetworks.com/cloud-security-university/what-is-cloud-access-security-broker/,,,
42503,SkyhighNetworks (Skyhigh Networks),CON386002 SkyHigh Networks June 16,lcolarado1,Attention,42503 - # Common Security Attacks and How to Fight Them,"500 words. List 3-6 different common security attacks and how IT professionals can work to prevent them. Examples include DDoS attacks that affect site traffic (but employees rarely know about) and phishing emails that specifically target employees to install viruses or gain access to company information. For one of the sections, mention Cloud access security brokers as a security solution for keeping cloud data safe, which sets you up for linking to the client. Your target audience is business professionals who are looking to learn more about IT and security to make sure their customer information is protected. They are also interested in technology. ",http://www.techadvisory.org/2014/08/5-common-security-breaches/,http://defencely.com/blog/10-popular-ways-hackers-hack-website/,http://quickbooks.intuit.com/r/technology-and-security/8-types-of-cyber-attacks-your-business-needs-to-avoid/,techgreet.com,natural/writer&#039;s choice,https://www.skyhighnetworks.com/cloud-security-university/what-is-cloud-access-security-broker/,,,
42504,SkyhighNetworks (Skyhigh Networks),CON386002 SkyHigh Networks June 16,lcolarado1,Attention,42504 -  # Software Trends for Businesses in 2016,"500 words. List 3-6 software trends that businesses are embracing this year. Examples include storing information in the cloud, letting more employees work remotely, and utilizing project management software for better communication, deadlines, and budgeting. Incorporate the client link in the section that convers storing information in the cloud, and mention that the cloud is a more secure and an easier option for businesses. Use the link to explain why to make it seem more natural. Your target audience is tech-savvy individuals who want to know how software trends are changing the world and influencing how corporations do business. ",http://blog.hubspot.com/marketing/innovative-companies-changing-workplace#sm.00001fceor8f53dhbtnicixk4mlpm,http://www.iofficecorp.com/blog/4-ways-technology-has-changed-the-modern-workplace,http://www.rightscale.com/blog/cloud-industry-insights/cloud-computing-trends-2016-state-cloud-survey,pureinfotech.com,natural/writer&#039;s choice,https://www.skyhighnetworks.com/cloud-security-university/what-is-cloud-access-security-broker/,,,
42505,SkyhighNetworks (Skyhigh Networks),CON386002 SkyHigh Networks June 16,lcolarado1,Attention,42505 - Top # Ways to Store Your Information,"500 words. List 3-6 ways bloggers can store their data to avoid taking up space on their computers. Your target audience is techy bloggers who are looking for more information or suggestions to make their site better. The target URL focuses on cloud access security brokers, so you can incorporate natural anchor text in a section on cloud-based storage. Also include some alternatives to the cloud. You can include some information on what cloud-based storage is but remember that most of the audience probably already knows the basics.",http://gizmodo.com/what-is-the-cloud-and-where-is-it-1682276210,http://www.pcworld.com/article/2940646/storage/cloud-storage-alternatives-three-ways-to-sync-your-own-data-securely-and-privately.html,http://www.cheatsheet.com/gear-style/5-cloud-storage-alternatives-to-dropbox-google-drive-and-icloud.html/?a=viewall,magpress.com,natural/writer&#039;s choice,https://www.skyhighnetworks.com/cloud-security-university/what-is-cloud-access-security-broker/,,,
42506,SkyhighNetworks (Skyhigh Networks),CON386002 SkyHigh Networks June 16,lcolarado1,Attention,42506 - # Reasons to Start Backing Up Your Data to the Cloud in 2016,"500 words. List 3-6 reasons why it&#039;s important for everyone, especially businesses, to back up data. Include reasons like protecting data deletion, cyber-attacks, improved reliability, more secure file transfers, and affordability. Your audience includes people interested in technology who are looking for news, rumors, shows, reviews, and press releases. You can include the target URL in any section talking about cloud-based storage or how to gain access to the cloud through a broker.",http://www.decryptedtech.com/item/3986-us-air-force-loses-12-years-of-ig-data-with-no-backup,http://www.asigra.com/about-asigra/why-cloud-backup,http://thevarguy.com/blog/5-biggest-advantages-cloud-backup,decryptedtech.com,natural/writer&#039;s choice,https://www.skyhighnetworks.com/cloud-security-university/what-is-cloud-access-security-broker/,,,
42507,SkyhighNetworks (Skyhigh Networks),CON386002 SkyHigh Networks June 16,lcolarado1,Attention,42507 - # Ways to Reduce Employee Liability Within a Company,"500 words. List 3-6 ways companies can reduce the risk of employees leaking sensitive information or opening the door to hackers. Examples include creating a hierarchy of people who can access privileged information, changing the passwords often, and updating employee access when their roles change (or they&#039;re fired). Employee error is one of the leading causes of data breaches, so this is an opportunity to strengthen their security internally. Link to the client&#039;s site when discussing access policies or limiting employee access, and suggest cloud security education. Your target audience is IT managers who are looking to make their company more secure from threats. ",http://blogs.wsj.com/law/2015/12/09/employee-error-leading-cause-of-data-breaches-new-survey-says/,http://www.computerweekly.com/opinion/Golden-rules-to-stop-redundant-staff-accessing-sensitive-data,http://www.computerweekly.com/opinion/How-to-prevent-internal-data-breaches,sociable.co,natural/writer&#039;s choice,https://www.skyhighnetworks.com/cloud-security-blog/7-sharepoint-online-security-best-practices/,,,
42508,SkyhighNetworks (Skyhigh Networks),CON386002 SkyHigh Networks June 16,lcolarado1,Attention,42508 - # Different Types of Data and How to Protect Them,"500 words. In 3-6 subheaders, explain the differences between different types of secure data, including personally identifiable information (PII), Private Personal Information (PPI), Payment Card Industry (PCI), and Protected Health Information. Explain which industries come into contact with this information and steps that they take to keep them protected. Link to the client&#039;s site by suggesting a complete overview in keeping this information protected. Marketers often have to learn about this data when on-boarding new vendors, so write this article for people who aren&#039;t familiar with this different types of data out there but need to learn about it. ",https://idash.ucsd.edu/phi-and-pii-definition-and-data-elements,http://safecomputing.umich.edu/dataguide/?q=node/89,https://www.pcicomplianceguide.org/pci-faqs-2/,visualcontenting.com,natural/writer&#039;s choice,https://www.skyhighnetworks.com/cloud-security-blog/onedrive-security-best-practices/,,,
42509,SkyhighNetworks (Skyhigh Networks),CON386002 SkyHigh Networks June 16,lcolarado1,Attention,42509 - # Factors to Consider When Choosing Office Software for Your Business,"500 words. Microsoft Word is no longer the only option for office software, although it&#039;s a good one. In this article, list 3-6 factors businesses should consider when choosing their office software. Some of your headings should include cost, ease, of use, and security (feel free to expand). You should be able to include the client link naturally in your paragraph about security. Your audience is business owners who are interested in office and cloud solutions.",https://www.entrepreneur.com/article/224538,http://www.makeuseof.com/tag/office-suite-best/,https://support.office.com/en-us/article/Word-or-Publisher-Choose-the-best-tool-for-the-job-8049b533-eeea-4119-8b00-68090b251e1b,sitepronews.com,natural/writer&#039;s choice,https://www.skyhighnetworks.com/cloud-security-blog/onedrive-security-best-practices/,,,
42510,SkyhighNetworks (Skyhigh Networks),CON386002 SkyHigh Networks June 16,lcolarado1,Attention,42510 - # Types of Data That Require Extra Protection in the Cloud,"500 words. List 3-6 types of data that should be protected carefully, especially when stored as cloud-based files. Some things to include are personal health information, personal identification information (SSN), financial information, and business data. Follow this up with a discussion on cybersecurity threats and FISMA and GLBA regulations. Your audience is tech savvy business owners, looking for ways to improve their cloud storage security. You can link to the target URL by mentioning security practices to implement. ",https://www.skyhighnetworks.com/cloud-compliance/fisma-encryption-compliance-requirements/,https://usa.kaspersky.com/internet-security-center/threats/top-7-cyberthreats#.V2jJJbgrLIU,https://www.watchfulsoftware.com/en/news-events/blog/posts/blog/3-types-of-data-that-need-protection-1,anblik.com,natural/writer&#039;s choice,https://www.skyhighnetworks.com/cloud-security-blog/onedrive-security-best-practices/,,,
42511,SkyhighNetworks (Skyhigh Networks),CON386002 SkyHigh Networks June 16,lcolarado1,Attention,42511 - # Security Threats Where Prevention Is Key,"500 words. List 3-6 scenarios where it&#039;s essential that businesses implement security measures and explain that prevention is key. Include things like server backups to protect against ransomware, cloud data security measures, proper disposal of hard drives, etc. Include the client link when you talk about cloud data. Your audience is business owners who need to protect their business from cyberthreats.",https://keeforce.com/2015/12/09/880/,https://www.linkedin.com/pulse/security-lessons-businesses-learned-hard-way-david-morse?forceNoSplash=true,https://www.hpe.com/h30683/us/en/strategic-business-insights/c/enterprise-security/mobility/Dodging-a-mobile-disaster_1391789.html,techshout.com,natural/writer&#039;s choice,https://www.skyhighnetworks.com/cloud-security-blog/onedrive-security-best-practices/,,,
42512,SkyhighNetworks (Skyhigh Networks),CON386002 SkyHigh Networks June 16,lcolarado1,Attention,42512 - # Steps to Protecting Your Data After Terminating an Employee,"500 words. Explain that employees have access to a lot of data and they may do something malicious in the event that they are terminated. Then, list 3-6 measures a business can take to ensure its data stays secure after a termination. Some headings could include changing passwords, restricting access to files, and recovering technology products (feel free to expand). Your audience is business owners with an interest in technology. Link to your target URL when discussing data in the cloud that ex-employees may have had access to.",http://www.shawnjroberts.com/six-things-to-do-when-an-employee-leaves/,http://www.forbes.com/sites/susanadams/2013/02/01/dont-fire-an-employee-and-leave-them-in-charge-of-the-corporate-twitter-account/#3a1b667540a1,http://www.druva.com/blog/protecting-corporate-data-employee-leaves/,techchunks.com,natural/writer&#039;s choice,https://www.skyhighnetworks.com/cloud-security-blog/onedrive-security-best-practices/,,,
